team,proj_record
Arizona,30.6-0.4
Duke,29.2-1.8
Michigan,28.5-2.5
UConn,29.7-1.3
Nebraska,29.4-1.6
Gonzaga,29.5-1.5
Michigan St,26.6-4.4
Iowa State,26.6-4.4
Vanderbilt,26.7-4.3
Houston,26.1-4.9
Saint Louis,29.5-1.5
Illinois,25.2-5.8
Purdue,24.2-6.8
BYU,24.9-6.1
Miami OH,30.8-0.2
Florida,23-8
Arkansas,23.7-7.3
Alabama,21.8-9.2
Virginia,26.2-4.8
Texas Tech,23-8
Villanova,23.5-7.5
Auburn,20.1-10.9
North Carolina,23.2-7.8
Saint Mary's,25.7-5.3
SMU,23.3-7.7
Tennessee,20.7-10.3
UCF,22.5-7.5
Louisville,21.6-9.4
Santa Clara,24-7
Kansas,20.3-10.7
Iowa,21.1-9.9
Georgia,22.7-8.3
Clemson,23.4-7.6
George Mason,26.8-4.2
St John's,22.1-8.9
Utah State,25-6
New Mexico,24.7-6.3
Belmont,26.9-4.1
VCU,22.9-8.1
California,23.2-7.8
San Diego St,21.8-8.2
USC,21.5-9.5
Seton Hall,21.1-9.9
Oklahoma St,19.4-11.6
McNeese,26.3-4.7
Virginia Tech,20.3-10.7
Tulsa,26.3-4.7
Miami,22.2-8.8
TCU,18.6-12.4
NC State,19.4-11.6
Texas,17.8-13.2
LSU,18.8-12.2
Stanford,20.7-10.3
Wisconsin,19.2-11.8
Ohio State,18.6-12.4
Kentucky,17.8-13.2
Yale,24.5-3.5
Liberty,26.9-4.1
Akron,25.7-5.3
Butler,19.1-11.9
SF Austin,27-4
UC San Diego,24.5-7.5
Indiana,18.2-12.8
Baylor,16.6-16.4
South Florida,21.5-9.5
Missouri,18.4-12.6
Boise St,19-12
Washington,17.1-13.9
UCLA,18.4-12.6
Nevada,21.5-9.5
West Virginia,17.9-13.1
Texas A&M,19.8-11.2
G Washington,20.1-10.9
Colorado St,19.1-11.9
Notre Dame,16-15
FAU,21.5-9.5
Murray St,22.9-8.1
Colorado,15.5-15.5
Kent State,23.6-7.4
UNC Wilmington,26.1-4.9
Grand Canyon,20-11
Xavier,15.1-15.9
Creighton,15.4-15.6
Arizona St,14.1-16.9
Utah Valley,22.7-8.3
Hawai’i,23.6-6.4
Wake Forest,14.8-16.2
Northern Iowa,20-11
Davidson,18.6-11.4
CA Baptist,22.6-8.4
High Point,26.2-4.8
Seattle U,19.7-11.3
Arkansas St,21.6-9.4
William & Mary,22.1-7.9
Rhode Island,19.4-11.6
Providence,13-18
Syracuse,14.4-16.6
Sam Houston,21.5-9.5
Illinois St,20.2-10.8
Marshall,21.2-9.8
Cincinnati,12.7-18.3
Oklahoma,12.9-18.1
San Francisco,17-14
St Bonaventure,17.6-13.4
Dayton,17.3-13.7
Kansas St,12.1-18.9
Richmond,17.5-13.5
Hofstra,20.7-10.3
MTSU,19.3-11.7
Buffalo,20.5-10.5
Georgetown,13.6-17.4
UAB,19.2-11.8
Troy,23.2-7.8
Wyoming,16.4-14.6
St Thomas (MN),25-6
Quinnipiac,21.9-9.1
Wichita St,18.5-12.5
Mercer,21.7-9.3
UT Arlington,20.3-9.7
Bowling Green,19.8-11.2
South Carolina,13.4-17.6
New Mexico St,17.9-12.1
Minnesota,13.8-17.2
Northwestern,12.2-18.8
DePaul,15.4-15.6
UC Davis,19.6-11.4
N Dakota St,24.5-6.5
UC Irvine,21.7-10.3
Memphis,15.1-15.9
ETSU,22.6-8.4
Winthrop,21.6-9.4
Wright St,20.6-10.4
LMU,16.3-14.7
Oregon,10.8-20.2
Ole Miss,12.8-18.2
Temple,19-12
Iona,21.4-9.6
Lipscomb,22.1-8.9
Mississippi St,11.7-19.3
Oakland,19.1-11.9
Portland St,21-8
Tarleton St,16.9-13.1
Toledo,17-14
Pacific,17.6-13.4
Marist,20.3-8.7
Long Island,21.1-8.9
UT Martin,24.5-6.5
Charleston,19.1-11.9
Columbia,19.3-8.7
American,21.8-9.2
Western KY,17.4-13.6
Montana St,20-11
North Texas,17.7-13.3
Austin Peay,21.8-9.2
Santa Barbara,18.7-12.3
Penn,15-12
Robert Morris,19.4-11.6
Vermont,21.9-9.1
N Kentucky,20.4-10.6
Furman,20.8-10.2
UMass,17.7-13.3
South Alabama,20.9-10.1
Bradley,17.7-13.3
Utah,10.3-20.7
Fresno St,13.2-17.8
Colgate,20.1-10.9
Pitt,10.3-20.7
Wofford,21.2-9.8
Towson,17.3-13.7
Maryland,10.1-20.9
Siena,20.4-10.6
Penn State,11.4-19.6
N Colorado,17.8-13.2
Navy,22.8-8.2
Charlotte,15.7-15.3
Rutgers,11.4-19.6
Queens,19.4-11.6
Ohio,15.4-15.6
Portland,13.4-17.6
Washington St,11.9-19.1
Montana,18-13
Drake,15.4-15.6
Saint Joseph's,16.9-14.1
Idaho,18.6-12.4
Elon,17-14
UNLV,13.1-17.9
Valparaiso,15.5-15.5
S Dakota St,17.1-13.9
Oregon St,13.4-17.6
FGCU,16-15
Kennesaw St,17.3-13.7
Texas A&M-CC,17.4-13.6
Georgia Tech,12.2-18.8
Florida St,9.9-21.1
Marquette,9-22
Merrimack,18.8-12.2
FIU,15-16
Missouri St,17.2-13.8
Duquesne,13.6-17.4
Green Bay,17.4-13.6
UT Rio Grande,16-15
Tulane,15.1-15.9
Campbell,13.7-17.3
S Illinois,13.1-18.9
Tennessee St,20.4-9.6
Idaho St,15.5-15.5
Saint Peter's,17.1-10.9
UIC,15.3-15.7
Bethune,17-14
Lindenwood,18.9-12.1
Boston College,9.9-21.1
Stony Brook,17-14
Fullerton,14.4-17.6
UNC Asheville,14.9-15.1
Weber St,15.2-15.8
New Orleans,13.5-17.5
Coastal,17.7-13.3
Alabama A&M,19.3-13.7
CSU Northridge,15.7-16.3
Jax State,14.8-16.2
Utah Tech,14.1-17.9
Milwaukee,13.9-17.1
GA Southern,18-13
South Dakota,16.6-14.4
UMBC,18.8-10.2
Purdue FW,18.7-14.3
James Madison,15.2-15.8
E Michigan,11.8-19.2
Youngstown St,14.4-16.6
La Salle,10.3-20.7
C Connecticut,17.6-11.4
App State,16.4-14.6
C Arkansas,15.7-15.3
Cornell,12.8-14.2
Fairfield,16.5-14.5
San José St,7.7-23.3
Drexel,14.3-16.7
Lamar,15.5-15.5
Howard,19.8-12.2
Abilene Chrstn,14.5-17.5
AR-Pine Bluff,16.2-16.8
Grambling,16.4-14.6
San Diego,11.2-19.8
Harvard,13.3-14.7
SE Missouri,16.9-14.1
Southern Miss,13.8-17.2
SIUE,18.7-12.3
Texas St,15.3-15.7
Samford,14.7-16.3
Monmouth,13.4-17.6
Charleston So,15.6-15.4
Longwood,16.5-14.5
UC Riverside,10.9-21.1
Florida A&M,14.5-14.5
W Michigan,10.8-20.2
Dartmouth,12.3-14.7
Indiana St,11.3-19.7
Princeton,10.1-18.9
Nicholls,12.2-18.8
Incarnate Word,12.9-18.1
Fordham,12.3-18.7
Le Moyne,17.8-13.2
Louisiana Tech,14.4-16.6
W Carolina,11.6-17.4
West Georgia,14.9-15.1
Southern,14.3-16.7
Old Dominion,10.3-20.7
Long Beach St,10.8-21.2
Northeastern,8.3-20.7
Jacksonville,12.1-18.9
NJIT,14.6-16.4
East Carolina,9.2-21.8
Mercyhurst,16.3-14.7
Morehead St,16-15
Denver,12.9-18.1
E Kentucky,10.6-20.4
Sacred Heart,12.4-18.6
Presbyterian,14.3-16.7
Stetson,11.9-19.1
E Texas A&M,13.9-21.1
Radford,14.4-16.6
E Illinois,13.8-17.2
Pepperdine,7.3-23.7
Rice,10.4-20.6
Bellarmine,11.5-20.5
NC A&T,11-18
Evansville,6.6-23.4
Omaha,12.8-18.2
SC Upstate,12.3-18.7
Holy Cross,13.2-17.8
North Dakota,14.6-17.4
Mount St Marys,13-18
UNC Greensboro,11.4-19.6
Cal Poly,9.6-22.4
Hampton,12-19
Detroit Mercy,9.7-19.3
C Michigan,8.8-22.2
MD Eastern,14.9-16.1
Canisius,11.4-19.6
UTEP,9.1-21.9
Chattanooga,12.7-18.3
Manhattan,11.6-19.4
Bucknell,9.8-21.2
Norfolk St,15-16
N Arizona,9.8-21.2
Boston U,12.1-18.9
Tennessee Tech,11.3-19.7
Bakersfield,10.4-21.6
Georgia St,12-19
N Illinois,8.9-21.1
UMass Lowell,13.1-17.9
New Haven,13.7-16.3
Prairie View,12.8-18.2
UAlbany,11.6-19.4
Jackson St,11.2-19.8
Little Rock,12.9-18.1
New Hampshire,11.7-17.3
Hou Christian,10.2-20.8
N'Western St,8.6-21.4
Bryant,11-19
SE Louisiana,8.4-22.6
NC Central,12.3-15.7
Southern Utah,7.8-23.2
E Washington,7.1-23.9
Brown,8.6-18.4
Lehigh,13.2-19.8
Sacramento St,7.9-22.1
Army,11.8-19.2
Delaware,6.2-24.8
Oral Roberts,7.8-23.2
Air Force,3.6-27.4
Alabama St,9.2-21.8
Wagner,11-19
Texas Southern,9.7-19.3
Loyola Chicago,5.4-25.6
Cleveland St,8.3-22.7
Lafayette,8-23
North Alabama,7.9-21.1
UTSA,4.9-25.1
Ball State,8.8-22.2
FDU,10.9-20.1
Alcorn St,7-23
Morgan St,12.2-16.8
Loyola MD,9.2-21.8
IU Indy,7.1-23.9
The Citadel,7.9-23.1
Maine,7.5-23.5
VMI,7.3-23.7
N Greenville,1-1
Fisk,0-4
Louisiana,6.3-24.7
Saint Francis,9.9-22.1
So Indiana,6.9-23.1
North Florida,6.1-24.9
Bryan (TN),0-4
Hawaii Pac,1-1
Stonehill,10.1-20.9
KCU,0-4
Niagara,6.5-23.5
Lincoln U (CA),0-5
Midway,0-4
SC State,7.7-22.3
East-West,1-4
Bethesda,0-7
Kansas City,4.7-25.3
Nobel,0-7
Penn State-She,0-4
Chicago St,3.6-27.4
Barber Scotia,1-1
Champ Chrstn,0-6
Westminster UT,0-2
Coppin St,4.7-25.3
WILMNGTNDE,1-0
LaGrange,0-2
Delaware St,7.4-22.6
Gardner-Webb,3.3-27.7
Binghamton,4.9-26.1
Milligan,0-2
Georgian Court,0-2
Mid Atl Chrstn,0-5
Tusculum,0-2
NM Highlands,0-3
Brescia,0-2
UC Santa Cruz,0-2
Columbia (SC),0-2
Averett,0-2
Ohio Weslyan,0-2
W Illinois,4.8-26.2
Chaminade,0-3
IU East,0-2
Ecclesia,0-5
Cent St OH,0-2
Life Pacific,0-2
Evergreen,0-2
Howard Payne,0-2
Illinois Tech,0-2
Tougaloo,0-2
Mount Marty,0-2
Pfeiffer,0-2
Rider,2.6-26.4
Blue Mountain,0-2
Blackburn,1-2
Mary Baldwin,0-2
St Mary's (MD),0-2
City (NY),0-2
Columbia Int'l,0-2
Elizabeth City,0-2
Rhodes,0-2
Webster,0-2
Defiance,0-2
Jarvis Chrstn,0-2
Bethany (WV),0-2
Whittier,0-2
S Virginia,0-2
Montana Tech,1-0
CO Christian,0-2
Stanton,0-2
NW Indian,0-3
Texas A&M-SA,0-2
William Carey,0-2
Dakota St,0-3
Siena Heights,0-2
Eureka,0-2
Reinhardt,0-2
Dominican CA,0-2
Dominican IL,0-2
Eastern Oregon,0-2
Coastal GA,0-3
Wash Adventist,0-2
Union (KY),0-2
SUNY-Oneonta,0-2
TN Wesleyan,0-2
Dallas,0-2
Calumet,0-2
SUNY-Maritime,0-2
Notre Dame MD,0-3
SW Adventist,0-3
UL Monroe,3.3-27.7
Haskell,0-2
Bob Jones,0-3
Bethel (TN),0-2
Regent,0-2
San Fran St,0-2
La Sierra,0-3
Elms,0-2
Texas Lutheran,0-2
Justice,0-3
Arlington Bapt,0-3
Dall Christian,0-3
Ft Lauderdale,0-3
Cleary,0-3
Oakwood,0-3
Huston Till,0-2
West Coast,0-3
Carolina U,0-3
Toccoa Falls,0-4
Worcester St,0-2
Oakland City,0-2
Johnson Wales,0-2
PSU Abington,0-2
PSU Brandywine,0-2
Wash Coll (MD),0-2
Biblical Stud,0-9
Brewton Parker,0-2
Erskine,0-2
New College FL,0-2
SW Christian U,0-3
Manor,0-2
S Wesleyan,0-3
Coe,0-2
RIT,0-2
Trinity Co Jax,0-3
Saint Xavier,0-2
VTSU Johnson,0-3
Northwood,1-0
Misericordia,0-2
Virginia St,1-0
Cheyney (PA),0-2
VA Lynchburg,0-10
Ark Baptist,0-3
Central Penn,0-3
Miss Valley St,2.3-31.7
Trinity (IL),0-1
Humboldt,0-1
OK Christian,0-1
Frank Pierce,0-1
St Thomas (TX),0-1
Catawba,0-1
Millsaps,0-1
FL Memorial,0-1
Capital,0-1
La Verne,0-1
Mount Olive,0-1
Jamestown,0-1
Adams St,0-1
