rank,team,rating,record,best_win,best_win_elo
1,Austin Peay,1596.6,16-6,ETSU,1672.6
2,Lipscomb,1588.4,15-9,Marshall,1730.9
3,Queens,1492.9,12-11,FGCU,1470.5
4,FGCU,1470.5,10-13,Samford,1373.9
5,C Arkansas,1410.2,13-10,Queens,1492.9
6,West Georgia,1320.7,10-12,Troy,1624.6
7,Jacksonville,1312,9-14,Lipscomb,1588.4
8,Bellarmine,1303.3,9-13,Queens,1492.9
9,E Kentucky,1296.6,7-16,Jax State,1473.9
10,Stetson,1259,8-15,Lipscomb,1588.4
11,North Alabama,1140.6,7-14,San Francisco,1814.2
12,North Florida,1036.8,5-18,Bellarmine,1303.3
