rank,team,rating,record,best_win,best_win_elo
1,Tulsa,1971.6,24-6,Northern Iowa,1802.4
2,South Florida,1940.7,22-8,Utah State,2122.7
3,FAU,1789.9,17-13,Wichita St,1774.2
4,Wichita St,1774.2,20-10,Tulsa,1971.6
5,UAB,1745.8,19-11,Tulsa,1971.6
6,Memphis,1739,12-18,Baylor,2045.7
7,North Texas,1668.7,18-13,Tulsa,1971.6
8,Temple,1625,16-14,South Florida,1940.7
9,Tulane,1606.3,17-13,FAU,1789.9
10,Charlotte,1590.1,15-15,Wichita St,1774.2
11,Rice,1375.4,12-18,FAU,1789.9
12,East Carolina,1357.4,11-19,FAU,1789.9
13,UTSA,1198.9,5-24,Charlotte,1590.1
