rank,team,rating,record,best_win,best_win_elo
1,Saint Louis,2239.6,29-6,Georgia,2195.4
2,VCU,2112,28-8,North Carolina,2225.4
3,Dayton,1952.4,25-12,Saint Louis,2239.6
4,George Mason,1948.4,23-10,Saint Louis,2239.6
5,G Washington,1825.5,19-16,South Florida,1970.9
6,Davidson,1808.2,20-14,G Washington,1825.5
7,St Bonaventure,1748.6,17-17,George Mason,1948.4
8,Richmond,1735.5,15-17,Belmont,1972.6
9,Saint Joseph's,1712.9,24-12,California,2005.6
10,Rhode Island,1707.2,16-16,Saint Louis,2239.6
11,Duquesne,1677,18-15,George Mason,1948.4
12,Fordham,1505.8,17-15,G Washington,1825.5
13,La Salle,1454.9,9-23,Dayton,1952.4
14,Loyola Chicago,1280.8,9-24,Santa Clara,2157.7
