rank,team,rating,record,best_win,best_win_elo
1,Arizona,2798.2,21-0,UConn,2664
2,Iowa State,2455.8,18-2,Purdue,2450.5
3,Houston,2444.1,18-2,Arkansas,2325.4
4,BYU,2430.5,17-3,Villanova,2223
5,Texas Tech,2297,16-4,Duke,2710.5
6,Kansas,2245.7,15-5,Iowa State,2455.8
7,UCF,2223,16-4,Kansas,2245.7
8,Oklahoma St,2126.5,14-6,UCF,2223
9,TCU,2081.5,13-8,Florida,2327
10,Baylor,2016.9,11-9,Oklahoma St,2126.5
11,West Virginia,2011.8,14-7,Kansas,2245.7
12,Colorado,1993.8,12-8,Washington,1968.8
13,Arizona St,1954.3,11-10,Santa Clara,2185.1
14,Cincinnati,1922.6,11-10,Iowa State,2455.8
15,Kansas St,1894.3,10-11,California,2059.4
16,Utah,1745.7,9-11,TCU,2081.5
