rank,conference,avg_elo,wins,losses
1,Big 12 Conference,2164.7125,166,40
2,Southeastern Conference,2108.65,158,50
3,Big Ten Conference,2099.177777777778,157,39
4,Atlantic Coast Conference,2037.4888888888888,176,55
5,Big East Conference,2016.6818181818182,87,34
6,Mountain West Conference,1816.2,84,46
7,West Coast Conference,1800.8833333333332,99,57
8,Atlantic 10 Conference,1773.15,122,59
9,Missouri Valley Conference,1648.7727272727273,75,46
10,American Conference,1647.6538461538462,97,70
11,Mid-American Conference,1613.5923076923077,94,61
12,Western Athletic Conference,1592.4142857142856,56,35
13,Conference USA,1566.8916666666667,77,54
14,Big West Conference,1551.0727272727272,70,58
15,Coastal Athletic Association,1531.6,95,69
16,Ivy League,1492.3625,59,49
17,Big Sky Conference,1452.8899999999999,61,66
18,Southland Conference,1449.9833333333333,49,60
19,Horizon League,1437.1181818181817,58,61
20,Sun Belt Conference,1406.642857142857,85,84
21,Southern Conference,1383.26,62,66
22,Metro Atlantic Athletic Conference,1363.9307692307693,64,71
23,Big South Conference,1361.8666666666668,67,67
24,ASUN Conference,1358.9,60,90
25,Summit League,1356.1666666666667,64,71
26,Patriot League,1274.08,51,79
27,Ohio Valley Conference,1266.1727272727273,55,64
28,Southwestern Athletic Conference,1187.8333333333333,39,113
29,America East Conference,1181.5111111111112,43,87
30,Northeast Conference,1163.17,42,84
31,Mid-Eastern Athletic Conference,1026.4875,38,90
32,Unknown,338.697520661157,6,541
