season,rank,team,rating,wins,losses,best_win_name,best_win_elo
2006,1,Duke,2533.4019375446637,32,4,Memphis,2473.0245442155697
2006,2,Memphis,2473.0245442155697,33,4,Gonzaga,2336.672320275784
2006,3,UConn,2472.7362340723207,30,4,Villanova,2439.20216046299
2006,4,Villanova,2439.20216046299,28,5,UConn,2472.7362340723207
2006,5,Florida,2407.6341072366117,33,6,Villanova,2439.20216046299
2006,6,Illinois,2355.6798885876756,26,7,Wisconsin,2200.3688314380756
2006,7,Gonzaga,2336.672320275784,29,4,Indiana,2137.5034045399375
2006,8,Texas,2336.656481756748,30,7,Memphis,2473.0245442155697
2006,9,Pitt,2331.969774918092,25,8,Villanova,2439.20216046299
2006,10,UCLA,2318.7075218546584,32,7,Memphis,2473.0245442155697
2006,11,LSU,2311.9226377936343,27,9,Duke,2533.4019375446637
2006,12,Ohio State,2311.4032153240146,26,6,Illinois,2355.6798885876756
2006,13,Tennessee,2292.6812629077654,22,8,Florida,2407.6341072366117
2006,14,West Virginia,2250.0104372958967,22,11,Villanova,2439.20216046299
2006,15,Washington,2237.355347420085,26,7,Illinois,2355.6798885876756
2006,16,NC State,2235.3795866938262,22,10,Boston College,2203.7215507072483
2006,17,Boston College,2203.7215507072483,28,8,NC State,2235.3795866938262
2006,18,Wisconsin,2200.3688314380756,19,12,Ohio State,2311.4032153240146
2006,19,G Washington,2194.8299379613863,27,3,Maryland,2100.038462647392
2006,20,North Carolina,2192.946667689442,23,8,Duke,2533.4019375446637
2006,21,Kansas,2188.5490522729906,25,8,Texas,2336.656481756748
2006,22,Georgetown,2185.7112446112155,23,10,Duke,2533.4019375446637
2006,23,Michigan,2176.386378309325,22,11,Illinois,2355.6798885876756
2006,24,Iowa,2172.845243368497,25,9,Illinois,2355.6798885876756
2006,25,Arkansas,2171.9329095779876,22,10,Florida,2407.6341072366117
2006,26,Oklahoma,2165.9547893875983,20,9,Texas,2336.656481756748
2006,27,Northern Iowa,2162.4474156450337,23,10,LSU,2311.9226377936343
2006,28,Syracuse,2159.6765275678345,23,12,UConn,2472.7362340723207
2006,29,Arizona,2158.027596269256,20,13,Washington,2237.355347420085
2006,30,Kentucky,2143.505237624055,22,13,Tennessee,2292.6812629077654
2006,31,Bucknell,2138.843614438017,27,5,Arkansas,2171.9329095779876
2006,32,Indiana,2137.5034045399375,19,12,Illinois,2355.6798885876756
2006,33,Michigan St,2135.907481175267,22,12,Illinois,2355.6798885876756
2006,34,Wichita St,2127.473200696075,26,9,Tennessee,2292.6812629077654
2006,35,Cincinnati,2116.753800585104,21,13,LSU,2311.9226377936343
