rank,team,rating,record,best_win,best_win_elo
1,Arizona,2747.3,18-0,UConn,2623.4
2,Michigan,2688.2,17-1,Gonzaga,2505.2
3,Duke,2677.2,17-1,Michigan St,2524.2
4,Nebraska,2630.1,18-0,Michigan St,2524.2
5,UConn,2623.4,18-1,BYU,2423
6,Michigan St,2524.2,17-2,Arkansas,2308
7,Gonzaga,2505.2,19-1,Alabama,2309.1
8,Purdue,2497.7,17-2,Alabama,2309.1
9,Houston,2481,17-1,Arkansas,2308
10,Iowa State,2456.8,17-2,Purdue,2497.7
11,BYU,2423,16-2,Villanova,2219.9
12,Vanderbilt,2396.8,16-3,Alabama,2309.1
13,Illinois,2383.9,15-3,Texas Tech,2291.6
14,Florida,2356.9,14-5,Vanderbilt,2396.8
15,Saint Louis,2344.8,18-1,Santa Clara,2177.5
16,Miami OH,2319,20-0,Akron,1956.1
17,Alabama,2309.1,13-5,Illinois,2383.9
18,Arkansas,2308,14-5,Vanderbilt,2396.8
19,Texas Tech,2291.6,15-4,Duke,2677.2
20,Georgia,2274.2,16-3,Arkansas,2308
21,Virginia,2270.6,16-2,SMU,2197.5
22,Auburn,2233.3,12-7,Arkansas,2308
23,Saint Mary's,2226.4,17-3,Virginia Tech,2143.9
24,Kansas,2224.5,14-5,Iowa State,2456.8
25,Villanova,2219.9,14-4,Seton Hall,2135.1
26,SMU,2197.5,14-5,North Carolina,2192.4
27,George Mason,2196.1,18-1,VCU,2045.5
28,UCF,2194.4,14-4,Kansas,2224.5
29,North Carolina,2192.4,14-4,Kansas,2224.5
30,Iowa,2191.7,14-5,UCLA,2007.8
31,Clemson,2183.5,16-4,Georgia,2274.2
32,Santa Clara,2177.5,16-5,Saint Mary's,2226.4
33,Tennessee,2177.2,12-6,Houston,2481
34,Louisville,2172.6,13-5,Kentucky,2065.2
35,USC,2156,14-4,Seton Hall,2135.1
36,St John's,2145.9,14-5,Villanova,2219.9
37,Virginia Tech,2143.9,14-5,Virginia,2270.6
38,Seton Hall,2135.1,14-5,NC State,2108.9
39,Oklahoma St,2108.9,14-5,UCF,2194.4
40,NC State,2108.9,13-6,Clemson,2183.5
41,San Diego St,2101.9,13-4,New Mexico,2087.2
42,Miami,2090.7,15-4,Notre Dame,1962.1
43,New Mexico,2087.2,14-4,Santa Clara,2177.5
44,LSU,2084.1,13-6,SMU,2197.5
45,Utah State,2082.9,15-3,VCU,2045.5
46,Wisconsin,2081,13-5,Michigan,2688.2
47,Ohio State,2076.5,13-5,UCLA,2007.8
48,TCU,2074.7,12-7,Florida,2356.9
49,Kentucky,2065.2,12-6,Tennessee,2177.2
50,Stanford,2060.8,14-5,Saint Louis,2344.8
51,Baylor,2060.3,11-7,Oklahoma St,2108.9
52,California,2048.1,14-5,North Carolina,2192.4
53,VCU,2045.5,13-6,Virginia Tech,2143.9
54,Belmont,2031.5,17-3,Northern Iowa,1808.3
