team,proj_record
Arizona,30.5-0.5
Michigan,28-2
Duke,28.1-2.9
UConn,28.7-2.3
Nebraska,28.3-2.7
Gonzaga,28.5-2.5
Iowa State,26.9-4.1
Michigan St,25.4-5.6
Houston,27.1-3.9
Illinois,25.8-5.2
Saint Louis,29.7-1.3
Purdue,24.4-6.6
Vanderbilt,25.4-5.6
Florida,23.7-7.3
Miami OH,30.9-0.1
Alabama,22.3-8.7
BYU,22.1-8.9
Arkansas,22.5-8.5
Virginia,26.2-4.8
North Carolina,24.4-6.6
UCF,22.4-6.6
Villanova,24-7
Tennessee,21.5-9.5
Auburn,19.4-11.6
Texas Tech,20.9-9.1
Kansas,21.8-9.2
Louisville,22.2-8.8
Saint Mary's,25.7-5.3
St John's,23.6-7.4
SMU,22.1-8.9
Utah State,26.5-4.5
Iowa,20.9-9.1
Clemson,24.3-6.7
Santa Clara,24.3-6.7
Oklahoma St,20.6-10.4
Georgia,21.4-9.6
NC State,21.2-9.8
Belmont,27.3-3.7
VCU,23.2-7.8
New Mexico,23-8
San Diego St,21.7-8.3
Kentucky,19.8-11.2
Seton Hall,20.4-10.6
USC,20.6-9.4
Texas,18.3-12.7
Tulsa,26.4-3.6
George Mason,25.7-5.3
California,22.1-8.9
Virginia Tech,19.7-11.3
Miami,21.9-9.1
Wisconsin,19.2-11.8
Texas A&M,20.9-10.1
Liberty,27.3-3.7
Ohio State,18.2-11.8
McNeese,25.8-5.2
SF Austin,27.7-3.3
TCU,17.4-13.6
Baylor,16-15
Indiana,19.1-11.9
Washington,17-14
Boise St,19.7-11.3
Missouri,18.8-12.2
West Virginia,17.7-12.3
Stanford,18.7-12.3
Yale,23.5-4.5
LSU,16.8-14.2
UCLA,18.5-12.5
Akron,25.2-5.8
Nevada,21.1-9.9
Colorado,16.2-14.8
South Florida,20.3-9.7
Butler,15.8-15.2
Colorado St,18.2-12.8
Creighton,15.8-15.2
Arizona St,14.1-16.9
Xavier,15.1-15.9
Davidson,20.1-10.9
Grand Canyon,19.8-11.2
FAU,19.4-11.6
Syracuse,15.2-15.8
UC San Diego,21.8-10.2
Notre Dame,14.2-16.8
Utah Valley,23.5-7.5
UNC Wilmington,25.6-5.4
Georgetown,15.6-15.4
Murray St,22-9
Cincinnati,13-17
Wake Forest,14.3-16.7
Hawai’i,23.7-6.3
Providence,14-17
Dayton,18-13
CA Baptist,23.6-7.4
Kent State,22.8-8.2
Oklahoma,13.5-17.5
Wyoming,16.9-14.1
Illinois St,20.5-10.5
Northern Iowa,19.3-11.7
Kansas St,11.9-19.1
San Francisco,16.4-14.6
G Washington,16.9-14.1
Rhode Island,18.9-12.1
High Point,26.4-4.6
Arkansas St,20.6-10.4
Marshall,20.9-10.1
Seattle U,18.1-12.9
Minnesota,13.5-16.5
St Bonaventure,17.6-13.4
Northwestern,11.9-18.1
Memphis,15.1-14.9
William & Mary,20.2-9.8
Mississippi St,12.6-18.4
Wichita St,18-12
Sam Houston,20.9-10.1
Ole Miss,12.8-18.2
Hofstra,20.4-10.6
UC Irvine,21.8-10.2
Oregon,10.4-20.6
UAB,17.9-12.1
South Carolina,12.3-18.7
ETSU,22.6-8.4
St Thomas (MN),24.3-6.7
Richmond,15.9-15.1
LMU,16.3-14.7
Winthrop,22-9
Troy,21.9-9.1
DePaul,14-17
UT Arlington,18.5-11.5
UC Davis,19.3-11.7
Buffalo,18.9-12.1
Quinnipiac,21.1-9.9
N Dakota St,23.9-7.1
Santa Barbara,20.3-10.7
Pacific,17.7-13.3
Portland St,21.1-7.9
Wright St,20.8-10.2
Mercer,19.8-11.2
Bowling Green,18.2-12.8
Temple,18.9-12.1
MTSU,15.9-15.1
Florida St,13.1-17.9
Long Island,22.6-8.4
Iona,19.1-11.9
Charleston,20.1-10.9
Oakland,18.7-12.3
Western KY,17.2-13.8
Tarleton St,16.2-14.8
New Mexico St,14.9-15.1
Maryland,9.8-20.2
Pitt,10.2-20.8
Duquesne,16.4-14.6
Penn,15.1-11.9
Toledo,15.9-15.1
Utah,9.8-21.2
Saint Joseph's,18.3-12.7
Penn State,11.7-18.3
Austin Peay,21.7-7.3
Marist,19.7-9.3
Charlotte,16.3-13.7
Washington St,12.6-18.4
UT Martin,23.7-7.3
Bradley,18.2-12.8
South Alabama,21.1-9.9
Portland,14.6-16.4
N Colorado,19.3-11.7
North Texas,16.1-14.9
Fresno St,13.5-17.5
Lipscomb,19.6-11.4
Towson,16.9-14.1
Furman,19.8-10.2
Montana St,17.7-13.3
UNLV,13.4-17.6
Columbia,17.6-10.4
Robert Morris,19.5-11.5
Rutgers,11.1-19.9
UMass,17.4-13.6
Marquette,9.9-21.1
N Kentucky,18.6-12.4
S Illinois,14.3-16.7
Oregon St,15.1-15.9
Kennesaw St,18.2-12.8
Navy,23.5-7.5
Colgate,19.5-11.5
Georgia Tech,12-19
Valparaiso,15.7-15.3
Siena,20.5-10.5
Wofford,21-10
Drake,14.7-16.3
Vermont,20.1-10.9
Ohio,15.7-15.3
Tulane,15.6-14.4
Idaho,17.4-13.6
UT Rio Grande,17.1-13.9
Bethune,18.3-12.7
Missouri St,17.2-13.8
American,18.2-12.8
UIC,16-15
Texas A&M-CC,16.9-14.1
Montana,17-14
Queens,17.8-13.2
FIU,14.8-16.2
Boston College,10-21
Elon,15.3-15.7
Campbell,14.7-16.3
CSU Northridge,18.4-13.6
Utah Tech,16.6-15.4
Jax State,16.9-14.1
FGCU,14.8-16.2
S Dakota St,15.1-15.9
Stony Brook,18-13
Merrimack,19.2-11.8
Idaho St,13.4-17.6
Coastal,17.9-13.1
Green Bay,16.8-14.2
Fullerton,14.6-17.4
App State,19.4-11.6
Saint Peter's,17-11
UNC Asheville,14.9-15.1
James Madison,15.7-15.3
Cornell,13.9-13.1
C Arkansas,18.1-12.9
Weber St,14.5-16.5
New Orleans,13.2-17.8
Southern Miss,14.8-16.2
Lindenwood,18.8-12.2
Tennessee St,19.6-10.4
Lamar,15.9-15.1
San José St,7.7-23.3
South Dakota,17.3-13.7
Fairfield,18.4-12.6
Fordham,14-17
E Michigan,11.2-19.8
Youngstown St,14.8-16.2
Texas St,17.7-13.3
Alabama A&M,17.2-13.8
Drexel,15.4-15.6
Purdue FW,17.2-13.8
Harvard,15.3-12.7
Samford,16.1-14.9
Howard,20.2-10.8
UMBC,18.9-10.1
San Diego,11.1-19.9
Louisiana Tech,15.7-15.3
Milwaukee,11.4-19.6
C Connecticut,17.7-11.3
Grambling,16.6-14.4
AR-Pine Bluff,15.8-15.2
SE Missouri,17.9-13.1
GA Southern,16-15
SIUE,19.5-11.5
Monmouth,14.2-16.8
Abilene Chrstn,12.1-18.9
Incarnate Word,13.5-17.5
Princeton,10.6-18.4
La Salle,8.1-22.9
Dartmouth,12-15
UC Riverside,9.8-22.2
Indiana St,11.3-19.7
Radford,16-15
Old Dominion,10.6-20.4
Nicholls,12.5-18.5
W Michigan,10.2-20.8
Charleston So,14-17
Longwood,15.5-15.5
Morehead St,17-14
Southern,14.5-16.5
W Carolina,11.3-17.7
Denver,14.1-16.9
Rice,12-18
Long Beach St,10.3-21.7
Northeastern,7.8-21.2
Bellarmine,13.2-16.8
West Georgia,13.6-16.4
E Kentucky,11.3-19.7
NJIT,16.6-14.4
Jacksonville,12.2-18.8
Cal Poly,10.7-21.3
Sacred Heart,12.2-18.8
Omaha,13.8-17.2
Detroit Mercy,11.6-17.4
Le Moyne,15.9-15.1
Presbyterian,13.8-17.2
SC Upstate,13.3-17.7
E Texas A&M,12.2-19.8
Sacramento St,11.1-18.9
Hampton,13.5-17.5
Mount St Marys,14-17
Pepperdine,6.6-24.4
East Carolina,9.1-21.9
E Illinois,13.5-17.5
North Dakota,15.5-16.5
Florida A&M,11.8-17.2
UTEP,9.9-21.1
NC A&T,10.1-18.9
Mercyhurst,15.1-15.9
Bucknell,10.7-20.3
N Arizona,10.6-20.4
C Michigan,9.1-21.9
UNC Greensboro,11.1-18.9
Chattanooga,12.6-18.4
Norfolk St,15.4-15.6
Stetson,10.4-20.6
Manhattan,11.6-19.4
Holy Cross,11.9-19.1
Boston U,12.5-18.5
Prairie View,13.2-17.8
E Washington,8.8-22.2
Canisius,10.1-20.9
Evansville,5.7-25.3
Tennessee Tech,12-19
N Illinois,9.6-20.4
Delaware,8-23
Southern Utah,8.6-22.4
Georgia St,10.6-20.4
Little Rock,11.9-19.1
SE Louisiana,9-22
Hou Christian,9.7-21.3
Bakersfield,9.3-22.7
UMass Lowell,13.2-17.8
Jackson St,10.5-20.5
New Haven,13.5-17.5
Cleveland St,10.9-20.1
Alabama St,9.8-21.2
NC Central,13.6-15.4
Air Force,3.5-27.5
New Hampshire,11.7-17.3
UAlbany,10.7-20.3
Loyola Chicago,6.3-24.7
Oral Roberts,7.6-23.4
Brown,7.9-19.1
Lafayette,10.4-20.6
Army,12-19
Louisiana,9.7-21.3
Texas Southern,10.4-18.6
Lehigh,11.6-19.4
Bryant,10.1-19.9
UTSA,4.9-25.1
N'Western St,7.5-23.5
North Alabama,8.5-20.5
Alcorn St,7.7-22.3
Loyola MD,10.7-20.3
Wagner,10.5-18.5
Ball State,9-22
MD Eastern,11.2-19.8
The Citadel,9.9-21.1
FDU,11.2-19.8
IU Indy,7.7-23.3
Morgan St,13-16
Niagara,7.3-22.7
North Florida,6.8-24.2
Stonehill,11.4-19.6
Maine,8-23
VMI,6.7-24.3
N Greenville,1-1
So Indiana,6.6-23.4
Bryan (TN),0-4
Fisk,0-4
Saint Francis,8.2-22.8
KCU,0-4
Hawaii Pac,1-1
SC State,8.8-21.2
Chicago St,5.9-25.1
Midway,0-4
Lincoln U (CA),0-5
Kansas City,4.5-25.5
Rider,3.8-25.2
Bethesda,0-7
UL Monroe,4.1-26.9
Nobel,0-7
Penn State-She,0-4
Coppin St,5-26
Binghamton,5.8-25.2
Champ Chrstn,0-6
Delaware St,7-22
Westminster UT,0-2
Gardner-Webb,3.1-27.9
WILMNGTNDE,1-0
LaGrange,0-2
Milligan,0-2
Georgian Court,0-2
Tusculum,0-2
W Illinois,4.6-26.4
UC Santa Cruz,0-2
NM Highlands,0-3
Brescia,0-2
Ohio Weslyan,0-2
Chaminade,0-3
IU East,0-2
Cent St OH,0-2
Mount Marty,0-2
Averett,0-2
Mid Atl Chrstn,0-6
Columbia (SC),0-2
Tougaloo,0-2
Life Pacific,0-2
Evergreen,0-2
Illinois Tech,0-2
Pfeiffer,0-2
Howard Payne,0-2
City (NY),0-2
Mary Baldwin,0-2
St Mary's (MD),0-2
Ecclesia,0-5
CO Christian,0-2
Blue Mountain,0-2
Elizabeth City,0-2
Columbia Int'l,0-2
Webster,0-2
Dominican CA,0-2
S Virginia,0-2
Rhodes,0-2
Bethany (WV),0-2
Texas A&M-SA,0-2
Montana Tech,1-0
Jarvis Chrstn,0-2
Reinhardt,0-2
Whittier,0-2
NW Indian,0-3
Defiance,0-2
William Carey,0-2
Siena Heights,0-2
Eureka,0-2
Dakota St,0-3
Eastern Oregon,0-2
Coastal GA,0-3
Stanton,0-2
San Fran St,0-2
Wash Adventist,0-2
Dallas,0-2
Union (KY),0-2
TN Wesleyan,0-2
SUNY-Oneonta,0-2
Dominican IL,0-2
SUNY-Maritime,0-2
Bob Jones,0-3
SW Adventist,0-3
Notre Dame MD,0-3
Texas Lutheran,0-2
Bethel (TN),0-2
Regent,0-2
La Sierra,0-3
Calumet,0-2
Haskell,0-2
Justice,0-3
Arlington Bapt,0-3
Dall Christian,0-3
Huston Till,0-2
Cleary,0-3
West Coast,0-3
Carolina U,0-3
Oakwood,0-3
Elms,0-2
Ft Lauderdale,0-3
PSU Brandywine,0-2
Oakland City,0-2
Brewton Parker,0-2
Wash Coll (MD),0-2
PSU Abington,0-2
Biblical Stud,0-9
Worcester St,0-2
Erskine,0-2
Johnson Wales,0-2
S Wesleyan,0-3
Toccoa Falls,0-4
New College FL,0-2
East-West,0-3
Saint Xavier,0-2
Manor,0-2
SW Christian U,0-3
RIT,0-2
VTSU Johnson,0-3
Northwood,1-0
Misericordia,0-2
Trinity Co Jax,0-3
Coe,0-2
Ark Baptist,0-3
Virginia St,1-0
VA Lynchburg,0-10
Cheyney (PA),0-2
Central Penn,0-3
Miss Valley St,1.2-30.8
Trinity (IL),0-1
Humboldt,0-1
OK Christian,0-1
Millsaps,0-1
Frank Pierce,0-1
Catawba,0-1
St Thomas (TX),0-1
St John's (MN),0-1
Capital,0-1
Mount Olive,0-1
Jamestown,0-1
La Verne,0-1
Mnhttn Chrstn,0-1
Principia,0-1
Lawrence,0-1
Shaw,0-1
FL Memorial,0-1
Adams St,0-1
Molloy,0-1
Rockford,0-1
UC Merced,0-1
Northrn St,0-1
Western NE,0-1
Ohio Christian,0-1
Morehouse,0-1
Bloomfield,0-1
Farmingdale St,0-1
Scholastic,0-1
Cmbrlnd KY,0-1
N Central,0-1
Brandeis,0-1
Rosemont,0-1
Converse,0-1
Concord,0-1
Bowie State,0-1
DeSales,0-1
Christian Bros,0-1
MD West St,0-1
Vassar,0-1
GA College,0-1
Park U Gilbert,0-1
Schreiner,0-1
Angelo State,0-1
Centenary (NJ),0-1
Minn Crook,0-1
Colorado Coll,0-1
St Mary's,0-1
LeTourneau,0-1
Old Westbury,0-1
Northwest U,0-1
Lynchburg,0-1
Menlo,0-1
S Arkansas,0-1
MO So St,0-1
Pit Greensburg,0-1
Mobile,0-1
Arcadia,0-1
George Fox,0-1
Doane,0-1
WVU Tech,0-1
AU Montgomery,0-1
Manhatnvll,0-1
Ripon,0-1
CINCYCLER,0-1
Rutgers-Camden,0-1
Geneva,0-1
Franklin,0-1
Hawai'i Hilo,0-1
Redlands,0-1
Wash and Lee,0-1
UNT Dallas,0-1
Wilms Baptist,0-1
Kansas Chrstn,0-1
Spring Hill,0-1
Pacific Union,0-1
Cumberland,0-1
N Central (IL),0-1
Missouri Bapt,0-1
Paine,0-1
Clinton,0-1
Baptist (Fl),0-1
Piedmont,0-1
Northeastern St,0-1
Lourdes,0-1
Mt Saint Mary,0-1
Dist Columbia,0-1
Puget Sound,0-1
Wilson,0-1
PSU York,0-1
Simpson,0-1
Marywood,0-1
Trinity Tx,0-1
Belmont Abbey,0-1
Saint Leo,0-1
Mid Am Chr,0-1
SUNY Canton,0-1
Culver Stock,0-1
SLCP,0-1
Maine-Augusta,0-1
Aquinas,0-1
Lane,0-1
Cameron,0-1
Ottawa (AZ),0-1
Shenandoah,0-1
Whitman,0-1
Rowan,0-1
Oglethorpe,0-1
FL National,0-1
Pensacola Chrs,0-1
Fresno Pacific,0-1
