team,proj_record,current_sos,current_rank,remaining_sos,remaining_rank,total_sos,total_rank
Michigan,28.63-2.37,2053.24,2,2215.15,14,2134.2,3
Duke,28.83-2.17,1941.76,15,2147,26,2044.38,22
Arizona,28.71-2.29,1978.32,12,2191.5,16,2084.91,9
UConn,27.85-3.15,1917.55,29,1983.81,71,1950.68,56
Houston,26.5-4.5,1932,22,2097.7,45,2014.85,37
Gonzaga,28.79-2.21,1771.89,79,1886.52,90,1829.21,84
Nebraska,26.61-4.39,1863.53,54,2010.46,63,1936.99,62
Purdue,25.37-5.63,1990.94,7,2127.02,34,2058.98,16
Iowa State,25.9-5.1,1891.73,45,2165.62,24,2028.68,29
Michigan St,24.21-6.79,1961.85,14,2216.05,13,2088.95,7
Illinois,24.16-6.84,1976.64,13,2080.31,49,2028.48,30
Vanderbilt,24.15-6.85,1912.78,32,2099.56,42,2006.17,43
Florida,24.17-6.83,1988.13,8,2104.21,40,2046.17,21
Miami OH,30.97-0.03,1332.93,315,1479.77,221,1406.35,253
BYU,23.23-7.77,1982.72,10,2110.6,38,2046.66,20
Saint Louis,28.75-2.25,1579.32,121,1677.94,130,1628.63,121
Alabama,22.8-8.2,2048.03,4,2138.25,31,2093.14,6
Arkansas,22.78-8.22,1985.52,9,2146.46,27,2065.99,15
Virginia,26.62-4.38,1822.64,71,2232.13,10,2027.38,31
Tennessee,22.65-8.35,1906.9,38,2145.24,28,2026.07,32
Villanova,24.22-6.78,1875.96,49,1960.73,77,1918.35,66
Kansas,22.07-8.93,2070.6,1,2267.2,4,2168.9,1
Louisville,22.51-8.49,1901.17,41,2122.55,35,2011.86,38
Texas Tech,22.14-8.86,2052.6,3,2237.38,7,2144.99,2
Auburn,17.87-13.13,2027.09,5,2012.25,61,2019.67,35
North Carolina,23.02-7.98,1907.17,37,2315.07,2,2111.12,4
SMU,21.93-9.07,1911.51,34,1987.64,68,1949.58,59
St John's,24.06-6.94,1938.19,18,2217.92,12,2078.05,11
UCF,21.37-8.63,1940.64,16,2129.45,32,2035.04,25
Saint Mary's,25.79-5.21,1712.11,90,2363.8,1,2037.95,24
Santa Clara,24.39-6.61,1693.11,95,1899.35,89,1796.23,89
Utah State,26.07-4.93,1699.61,92,1921.19,85,1810.4,86
Iowa,21.25-9.75,1857.84,56,2240.81,5,2049.32,19
Georgia,21.24-9.76,1837.66,65,2098.01,44,1967.84,49
NC State,20.84-10.16,1926.24,26,2232.51,9,2079.37,10
Miami,23.53-7.47,1773.13,78,1951.97,79,1862.55,80
Clemson,21.71-9.29,1869.31,53,2031.84,54,1950.58,57
Wisconsin,21.06-9.94,1915.99,30,2022.56,58,1969.27,48
Kentucky,18.86-12.14,1940.04,17,2168.22,21,2054.13,18
VCU,23.39-7.61,1684.62,97,1792.06,102,1738.34,96
Texas,18.76-12.24,1846.41,64,2172.55,19,2009.48,41
TCU,19.42-11.58,1890.76,46,2012.77,60,1951.77,55
Ohio State,19.18-11.82,1912.14,33,2167.97,22,2040.05,23
New Mexico,23.36-7.64,1716.07,89,2035.86,53,1875.97,78
Oklahoma St,17.7-13.3,1888.84,47,2175.23,18,2032.03,27
USC,19.88-11.12,1875.36,50,2171.41,20,2023.39,34
Seton Hall,20.15-10.85,1783.98,75,2237.16,8,2010.57,39
Virginia Tech,19.35-11.65,1872.24,51,2031.4,55,1951.82,54
San Diego St,20.29-9.71,1785.48,74,1972.18,73,1878.83,76
California,21.74-9.26,1761.49,82,1857.76,94,1809.62,87
UCLA,19.71-11.29,1931.84,23,2128.62,33,2030.23,28
Belmont,26.75-4.25,1501.54,164,1494.99,208,1498.27,185
Texas A&M,20.53-10.47,1828.64,69,2154.04,25,1991.34,45
Indiana,19.09-11.91,1892.97,44,2036.07,52,1964.52,51
Tulsa,24.75-6.25,1476.81,183,1417.03,250,1446.92,220
LSU,16.14-14.86,1857.52,57,1991.3,67,1924.41,64
Baylor,15.17-15.83,1910.81,35,2291.59,3,2101.2,5
Missouri,19.63-11.37,1834.45,66,2089.83,47,1962.14,53
Colorado,16.58-14.42,1931.83,24,2203.71,15,2067.77,14
West Virginia,17.4-13.6,1829.75,68,2141.28,30,1985.51,46
SF Austin,27.91-3.09,1312.22,327,1322.47,286,1317.34,301
McNeese,25.81-5.19,1502.09,163,1452.08,235,1477.09,196
South Florida,22.45-8.55,1620.88,108,1566.15,169,1593.51,137
Boise St,18.43-12.57,1743.96,83,1869.09,92,1806.52,88
George Mason,23.01-7.99,1577.11,123,1972.14,74,1774.63,91
Syracuse,16.44-14.56,1853.45,59,1964.36,76,1908.91,69
Stanford,17.8-13.2,1881.59,48,1984.48,70,1933.04,63
Arizona St,15.32-15.68,1994.48,6,2142.11,29,2068.3,13
Cincinnati,15.95-15.05,1924.75,27,2220.94,11,2072.84,12
Washington,15.16-15.84,1910.75,36,1913.09,87,1911.92,68
Liberty,26.51-4.49,1470.82,191,1560.75,176,1515.78,173
Nevada,20.74-10.26,1778.19,76,1685.97,125,1732.08,99
Butler,16.37-14.63,1796.13,72,1999.8,65,1897.96,72
Yale,23.74-4.26,1441.85,217,1442.86,238,1442.36,226
Creighton,15.81-15.19,1903.42,40,1863.89,93,1883.65,74
Akron,25.35-5.65,1497,166,1493.63,209,1495.31,188
Colorado St,19.5-11.5,1632.08,106,1802.38,100,1717.23,103
