rank,team,rating,record,best_win,best_win_elo
1,UNC Wilmington,1793.9,27-7,Yale,1878.5
2,Hofstra,1748,24-11,Syracuse,1949.1
3,William & Mary,1707.7,20-12,UNC Wilmington,1793.9
4,Charleston,1605.6,21-11,UNC Wilmington,1793.9
5,Towson,1584.7,19-15,Liberty,1862.8
6,Campbell,1537.7,16-18,UNC Wilmington,1793.9
7,Elon,1487.2,14-18,Hofstra,1748
8,Stony Brook,1471.7,17-15,Hofstra,1748
9,Monmouth,1446.7,19-15,William & Mary,1707.7
10,Drexel,1436.3,17-16,William & Mary,1707.7
11,Northeastern,1306.5,7-24,Duquesne,1679.8
12,Hampton,1296.8,13-19,William & Mary,1707.7
13,NC A&T,1292.4,11-19,Hofstra,1748
