rank,team,rating,record,best_win,best_win_elo
1,Liberty,1863.7,26-8,Dayton,1952.4
2,Sam Houston,1731.7,22-12,Wyoming,1828.3
3,MTSU,1649.3,17-15,Murray St,1809.4
4,Western KY,1643.9,18-14,Liberty,1863.7
5,New Mexico St,1635.2,16-16,New Mexico,2075.4
6,Kennesaw St,1589.9,21-14,Liberty,1863.7
7,FIU,1543.9,15-17,MTSU,1649.3
8,Missouri St,1511.1,16-18,Liberty,1863.7
9,Jax State,1482.4,15-17,ETSU,1661.9
10,Louisiana Tech,1461.3,20-14,Liberty,1863.7
11,UTEP,1331,11-20,N Dakota St,1655.2
12,Delaware,1283.7,10-21,G Washington,1825.5
