rank,team,rating,record,best_win,best_win_elo
1,Wright St,1632,16-9,Oakland,1602.8
2,Oakland,1602.8,14-11,Toledo,1625
3,Robert Morris,1565.6,16-10,Wright St,1632
4,N Kentucky,1551.8,15-11,Robert Morris,1565.6
5,Green Bay,1481.1,14-12,Santa Barbara,1676.7
6,Youngstown St,1427.8,12-13,Grand Canyon,1877.5
7,Purdue FW,1402,14-11,Notre Dame,1895.9
8,Milwaukee,1386.4,9-17,Robert Morris,1565.6
9,Detroit Mercy,1326.5,10-13,N Kentucky,1551.8
10,Cleveland St,1217,10-15,Wright St,1632
11,IU Indy,1104.1,7-18,Oakland,1602.8
