rank,team,rating,record,best_win,best_win_elo
1,Quinnipiac,1567.4,13-9,Pitt,1626.3
2,Iona,1534.6,14-9,Hofstra,1608
3,Marist,1505.7,13-7,Quinnipiac,1567.4
4,Siena,1463.2,15-7,Marist,1505.7
5,Merrimack,1390.5,13-9,Quinnipiac,1567.4
6,Saint Peter's,1390.2,11-7,Quinnipiac,1567.4
7,Fairfield,1339.3,13-9,Iona,1534.6
8,Sacred Heart,1218.5,9-13,Quinnipiac,1567.4
9,Canisius,1162.7,7-14,Fairfield,1339.3
10,Mount St Marys,1141.8,8-14,Iona,1534.6
11,Manhattan,1135.4,8-14,Quinnipiac,1567.4
12,Niagara,926.7,4-16,Sacred Heart,1218.5
13,Rider,720.8,1-18,Iona,1534.6
