rank,team,rating,record,best_win,best_win_elo
1,Belmont,2019.8,25-4,Murray St,1817.9
2,Murray St,1817.9,20-10,Akron,1899.3
3,Northern Iowa,1804.5,18-11,Murray St,1817.9
4,Illinois St,1756.4,18-11,Murray St,1817.9
5,Bradley,1643.2,19-10,Belmont,2019.8
6,S Illinois,1573,14-15,Belmont,2019.8
7,Valparaiso,1571.8,16-13,Northern Iowa,1804.5
8,UIC,1561,16-13,Northern Iowa,1804.5
9,Drake,1540.5,12-17,Murray St,1817.9
10,Indiana St,1381.7,10-19,Belmont,2019.8
11,Evansville,1278.9,6-22,Illinois St,1756.4
