rank,team,rating,record,best_win,best_win_elo
1,Utah State,2158.2,23-4,VCU,2098.1
2,New Mexico,2094.2,21-6,Santa Clara,2186
3,San Diego St,2055.8,18-8,New Mexico,2094.2
4,Boise St,1958.1,16-11,Saint Mary's,2205.7
5,Nevada,1929.8,18-9,Utah State,2158.2
6,Colorado St,1919,17-10,San Diego St,2055.8
7,Grand Canyon,1868.4,17-10,Utah State,2158.2
8,Wyoming,1823.4,15-12,Colorado St,1919
9,UNLV,1665.4,14-13,Utah State,2158.2
10,Fresno St,1659,12-15,Colorado St,1919
11,San José St,1514.1,7-20,Nevada,1929.8
12,Air Force,1231.3,3-24,SIUE,1345.1
