rank,team,rating,record,best_win,best_win_elo
1,UT Martin,1567.4,19-6,Bradley,1648.8
2,Tennessee St,1422.9,16-8,UNLV,1647.2
3,Lindenwood,1415.1,15-10,SE Missouri,1373.5
4,SE Missouri,1373.5,15-10,UT Martin,1567.4
5,SIUE,1353.9,16-9,Drake,1557.2
6,Morehead St,1290.5,13-12,UT Martin,1567.4
7,E Illinois,1240.8,10-15,Tennessee St,1422.9
8,Tennessee Tech,1215.4,10-15,Tennessee St,1422.9
9,Little Rock,1181,9-16,Lindenwood,1415.1
10,So Indiana,1009.3,5-19,Valparaiso,1569
11,W Illinois,780.1,4-21,North Dakota,1277.5
