rank,team,rating,record,best_win,best_win_elo
1,Vanderbilt,2411.5,21-5,Alabama,2330.5
2,Florida,2370.5,20-6,Vanderbilt,2411.5
3,Alabama,2330.5,19-7,Illinois,2431
4,Arkansas,2303.1,19-7,Vanderbilt,2411.5
5,Tennessee,2280.4,19-7,Houston,2488.8
6,Auburn,2223.2,14-12,Florida,2370.5
7,Georgia,2151.3,18-8,Arkansas,2303.1
8,Kentucky,2147,17-9,Arkansas,2303.1
9,Texas,2136.5,17-9,Vanderbilt,2411.5
10,Texas A&M,2048.2,18-8,Auburn,2223.2
11,Missouri,2029,18-8,Vanderbilt,2411.5
12,LSU,2015.6,14-12,SMU,2193.2
13,Oklahoma,1937.8,13-13,Vanderbilt,2411.5
14,Mississippi St,1875.7,13-13,Auburn,2223.2
15,Ole Miss,1813.8,11-15,Georgia,2151.3
16,South Carolina,1801.8,11-15,LSU,2015.6
