rank,team,rating,record,best_win,best_win_elo
1,SF Austin,1956.8,24-3,McNeese,1942.5
2,McNeese,1942.5,22-5,SF Austin,1956.8
3,UT Rio Grande,1537.6,15-12,McNeese,1942.5
4,Texas A&M-CC,1508.3,14-13,UT Rio Grande,1537.6
5,New Orleans,1478.1,12-15,TCU,2085.9
6,Lamar,1405.8,12-15,Montana,1520
7,Nicholls,1354.3,11-16,UT Rio Grande,1537.6
8,Incarnate Word,1328,10-17,McNeese,1942.5
9,E Texas A&M,1308.8,11-17,UT Rio Grande,1537.6
10,Hou Christian,1224.1,10-17,New Orleans,1478.1
11,SE Louisiana,1206.4,8-19,Navy,1548.6
12,N'Western St,1181.7,8-19,UT Rio Grande,1537.6
