rank,team,rating,record,best_win,best_win_elo
1,Bethune,1475.3,13-11,Ohio,1563.3
2,Alabama A&M,1385.2,13-11,Tennessee St,1419.6
3,Grambling,1340.7,11-12,Southern Miss,1463.6
4,AR-Pine Bluff,1328.5,11-13,UIC,1534.8
5,Southern,1309.9,11-13,Bethune,1475.3
6,Florida A&M,1256.5,9-13,Grambling,1340.7
7,Alabama St,1178.5,7-17,UAB,1745.4
8,Prairie View,1177.3,9-15,AR-Pine Bluff,1328.5
9,Jackson St,1159.9,7-17,Florida A&M,1256.5
10,Texas Southern,1116.9,7-15,Alabama A&M,1385.2
11,Alcorn St,1080.2,5-18,Indiana St,1397.5
12,Miss Valley St,549.9,1-23,Miss for Women,121.4
