rank,team,rating,record,best_win,best_win_elo
1,Arkansas St,1711.1,18-11,N Dakota St,1667.4
2,Marshall,1699.4,18-11,Arkansas St,1711.1
3,Troy,1632.4,18-11,San Diego St,2056.6
4,South Alabama,1608,20-9,Arkansas St,1711.1
5,App State,1487,19-11,High Point,1764.7
6,Coastal,1483.8,17-12,Marshall,1699.4
7,Southern Miss,1467.4,15-14,Kent State,1803.1
8,James Madison,1461.1,16-13,Arkansas St,1711.1
9,Texas St,1435.1,18-12,Marshall,1699.4
10,GA Southern,1405.2,15-14,Marshall,1699.4
11,Old Dominion,1362.6,10-19,Arkansas St,1711.1
12,Georgia St,1213.3,10-19,Arkansas St,1711.1
13,Louisiana,1181.2,10-19,South Alabama,1608
14,UL Monroe,870.6,4-25,Old Dominion,1362.6
