rank,team,rating,record,best_win,best_win_elo
1,Gonzaga,2491.9,24-2,Alabama,2324
2,Saint Mary's,2209.1,21-4,Virginia Tech,2084
3,Santa Clara,2183.1,21-5,Saint Mary's,2209.1
4,San Francisco,1815.7,14-12,Mississippi St,1844.8
5,Seattle U,1784.2,15-10,Stanford,1989.8
6,Pacific,1720.7,16-10,Seattle U,1784.2
7,LMU,1706.3,13-13,San Francisco,1815.7
8,Washington St,1647.5,11-16,Seattle U,1784.2
9,Portland,1612.4,12-14,Gonzaga,2491.9
10,Oregon St,1599.1,13-13,Arizona St,1974.2
11,San Diego,1435.5,10-16,UC San Diego,1828.9
12,Pepperdine,1331.7,6-19,Portland,1612.4
