seed,overall_seed,team,conference,rating,auto_bid
1,1,Duke,ACC,2750.6276083091648,TRUE
1,2,Arizona,Big_12,2721.986080792407,TRUE
1,3,Michigan,Big_Ten,2701.2025609323578,TRUE
1,4,UConn,Big_East,2495.0797796136253,TRUE
2,5,Gonzaga,West_Coast,2478.5238281167676,TRUE
2,6,Houston,Big_12,2472.7346390089174,FALSE
2,7,Purdue,Big_Ten,2436.219954336752,FALSE
2,8,Iowa State,Big_12,2433.773788260953,FALSE
3,9,Michigan St,Big_Ten,2423.382777865024,FALSE
3,10,Nebraska,Big_Ten,2411.8094834590006,FALSE
3,11,Florida,SEC,2410.0299493413836,TRUE
3,12,Vanderbilt,SEC,2395.7161696110697,FALSE
4,13,Illinois,Big_Ten,2381.4251815485377,FALSE
4,14,Virginia,ACC,2335.24352908602,FALSE
4,15,Alabama,SEC,2328.6827275644473,FALSE
4,16,BYU,Big_12,2323.5796129507858,FALSE
5,17,Arkansas,SEC,2308.8776564853406,FALSE
5,18,Kansas,Big_12,2266.3261389946356,FALSE
5,19,Tennessee,SEC,2265.87340562188,FALSE
5,20,Texas Tech,Big_12,2252.0489470846487,FALSE
6,21,St John's,Big_East,2250.970279316971,FALSE
6,22,Saint Mary's,West_Coast,2247.515430760986,FALSE
6,23,North Carolina,ACC,2238.844038637304,FALSE
6,24,Villanova,Big_East,2235.3543242337432,FALSE
7,25,Louisville,ACC,2232.1761385485274,FALSE
7,26,Saint Louis,Atlantic_10,2216.2120125479914,TRUE
7,27,Miami OH,Mid_American,2202.105496545927,TRUE
7,28,UCF,Big_12,2191.182498255742,FALSE
8,29,Auburn,SEC,2189.2604229808608,FALSE
8,30,Georgia,SEC,2183.120562414384,FALSE
8,31,Iowa,Big_Ten,2180.40183367753,FALSE
8,32,Santa Clara,West_Coast,2178.44475780458,FALSE
9,33,Miami,ACC,2159.441216060477,FALSE
9,34,Ohio State,Big_Ten,2153.303928995821,FALSE
9,35,Kentucky,SEC,2152.1286911540865,FALSE
9,36,Clemson,ACC,2151.8405674509745,FALSE
10,37,Wisconsin,Big_Ten,2147.785698624835,FALSE
10,38,TCU,Big_12,2145.3258391232666,FALSE
10,39,SMU,ACC,2140.4959367214205,FALSE
10,40,NC State,ACC,2138.774294041466,FALSE
11,41,Utah State,Mountain_West,2135.073972801409,TRUE
11,42,Oklahoma St,Big_12,2121.8818748210606,FALSE
11,43,Texas,SEC,2113.3113829885083,FALSE
11,44,UCLA,Big_Ten,2107.917376835864,FALSE
11,45,Seton Hall,Big_East,2100.354749534094,FALSE
11,46,VCU,Atlantic_10,2095.8376655246784,FALSE
12,47,McNeese,Southland_Conference,1970.1170887288654,TRUE
12,48,Belmont,Missouri_Valley,1968.8876472294075,TRUE
12,49,Tulsa,American,1966.506686093431,TRUE
12,50,Yale,Ivy_League,1889.0711999102457,TRUE
13,51,Liberty,Conference_USA,1863.0030776485312,TRUE
13,52,Utah Valley,Western_Athletic,1820.1225971384863,TRUE
13,53,UC San Diego,Big_West,1816.2455794000628,TRUE
13,54,UNC Wilmington,Coastal_Athletic,1805.7381866497174,TRUE
14,55,High Point,Big_South,1776.1889600796462,TRUE
14,56,Arkansas St,Sun_Belt,1701.6472511819372,TRUE
14,57,St Thomas (MN),Summit_League,1672.0723179542517,TRUE
14,58,ETSU,Southern_Conference,1663.5786323534298,TRUE
15,59,Quinnipiac,Metro_Atlantic,1651.9643081056222,TRUE
15,60,Wright St,Horizon_League,1626.2805034594257,TRUE
15,61,Portland St,Big_Sky,1613.775317315101,TRUE
15,62,Austin Peay,ASUN,1568.0838304398274,TRUE
16,63,Long Island,Northeast,1566.7616770145366,TRUE
16,64,Navy,Patriot_League,1562.9609601075294,TRUE
16,65,UT Martin,Ohio_Valley,1562.3145995877796,TRUE
16,66,Vermont,America_East,1473.6550204669009,TRUE
16,67,Bethune,Southwestern_Athletic,1434.1538704066306,TRUE
16,68,Howard,Mid_Eastern,1391.4497824508314,TRUE
