"team","rating","wins","losses","season"
"Chicago Cubs",1634.52237089072,97,65,2015
"Cleveland Indians",1627.03621222841,81,80,2015
"Tampa Bay Rays",1615.405558727,80,82,2015
"Toronto Blue Jays",1611.78252103324,93,69,2015
"Texas Rangers",1610.97819127892,88,74,2015
"Baltimore Orioles",1599.56980024676,81,81,2015
"Boston Red Sox",1590.28735479881,78,84,2015
"Kansas City Royals",1584.15962278565,95,68,2015
"Houston Astros",1569.38288053215,86,76,2015
"Pittsburgh Pirates",1553.67344207127,98,64,2015
"Los Angeles Angels",1526.49868726886,85,77,2015
"Los Angeles Dodgers",1511.77487291388,92,71,2015
"Minnesota Twins",1511.46935562559,83,79,2015
"New York Yankees",1500.280342395,87,75,2015
"Arizona Diamondbacks",1485.75555215646,79,83,2015
"Colorado Rockies",1478.10320229184,68,94,2015
"Seattle Mariners",1477.57575001822,76,86,2015
"St. Louis Cardinals",1466.99833918434,100,63,2015
"Washington Nationals",1465.70525532238,84,79,2015
"Philadelphia Phillies",1455.20446042041,63,99,2015
"New York Mets",1452.95577391077,91,72,2015
"San Francisco Giants",1450.23437413962,84,78,2015
"Detroit Tigers",1449.53383658657,74,87,2015
"Miami Marlins",1448.0150898047,71,91,2015
"Chicago White Sox",1427.55539530478,77,86,2015
"Milwaukee Brewers",1418.95748242995,68,94,2015
"Atlanta Braves",1416.57009765046,67,95,2015
"Oakland Athletics",1396.04240214706,68,94,2015
"San Diego Padres",1358.1677416848,74,88,2015
"Cincinnati Reds",1305.80403415138,65,99,2015
