rank,team,rating,record,best_win,best_win_elo
1,STL,1961,16-3,NE,1821.1
2,NE,1821.1,14-5,STL,1961
3,PHI,1793.4,13-6,CHI,1731.7
4,PIT,1775.6,14-4,BAL,1617
5,GB,1735.7,13-5,CHI,1731.7
6,CHI,1731.7,13-4,SF,1696.8
7,SF,1696.8,12-5,PHI,1793.4
8,OAK,1620.1,11-7,PHI,1793.4
9,BAL,1617,11-7,PIT,1775.6
10,TB,1608.4,9-8,STL,1961
11,MIA,1576,11-6,NE,1821.1
12,NYJ,1568.6,10-7,NE,1821.1
13,WAS,1541.2,8-8,PHI,1793.4
14,TEN,1491,7-9,GB,1735.7
15,SEA,1489,9-7,OAK,1620.1
16,IND,1475.3,6-10,NYJ,1568.6
17,JAX,1471.1,6-10,PIT,1775.6
18,DEN,1464,8-8,NE,1821.1
19,CLE,1459.6,7-9,BAL,1617
20,KC,1450.9,6-10,WAS,1541.2
21,NO,1379.3,7-9,STL,1961
22,NYG,1377.1,7-9,WAS,1541.2
23,CIN,1370.7,6-10,NE,1821.1
24,ATL,1354,7-9,GB,1735.7
25,ARI,1337.1,7-9,PHI,1793.4
26,MIN,1336.9,5-11,GB,1735.7
27,SD,1319.9,5-11,WAS,1541.2
28,DAL,1297.8,5-11,SF,1696.8
29,BUF,1188.7,3-13,NYJ,1568.6
30,DET,1167.4,2-14,MIN,1336.9
31,CAR,1024,1-15,MIN,1336.9
