team,elo,wins,draws,losses,best_win_name,best_win_elo,rank
Brazil,1557.510825671136,6,0,0,Italy,1530.262976921402,1
Germany FR,1537.5106777806493,5,0,1,Peru,1519.4249887221547,2
Italy,1520.7736640146743,3,2,1,Germany FR,1538.8499774443094,3
Mexico,1509.136782641632,2,1,1,Belgium,1499.71225631668,4
Soviet Union,1508.8513616823905,2,1,1,Belgium,1510,5
Sweden,1500.5750112778453,1,1,1,Uruguay,1510,6
Peru,1500,2,0,2,Bulgaria,1500,7
England,1500,2,0,2,Romania,1500,8
Uruguay,1491.6175470186818,2,1,3,Soviet Union,1519.4264138428757,9
Romania,1490.5750112778453,1,0,2,Czechoslovakia,1490,10
Israel,1490.5750112778453,0,2,1,NA,NA,11
Belgium,1490,1,0,2,El Salvador,1500,12
Bulgaria,1480.5750112778453,0,1,2,NA,NA,13
Morocco,1480.5750112778453,0,1,2,NA,NA,14
El Salvador,1471.1490735237644,0,0,3,NA,NA,15
Czechoslovakia,1470.5750112778453,0,0,3,NA,NA,16
