rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
1,Indiana,16,16,0,Oregon,2442.947271112156,27941.948738356063,2753.8525992315563
2,Miami (FL),16,13,3,Mississippi,2283.2785095893,22061.312557946334,2334.3352489546933
3,Oregon,15,13,2,Texas Tech,2295.3045595721255,20526.603146663107,2442.947271112156
4,Mississippi,15,13,2,Georgia,2299.9222934305853,20088.997478691927,2283.2785095893
5,Georgia,14,12,2,Mississippi,2283.2785095893,19477.699142662506,2299.9222934305853
6,Brigham Young,14,12,2,Utah,2110.5661134891475,19378.58908910326,2123.450106836283
7,Ohio State,14,12,2,Texas,2124.677566264846,19007.704980373503,2266.245974650541
8,Texas Tech,14,12,2,Brigham Young,2123.450106836283,17531.108014330996,2295.3045595721255
9,Alabama,15,11,4,Georgia,2299.9222934305853,17373.286209987913,2099.0725232871437
10,Texas A&M,13,11,2,Notre Dame,2255.9932750525772,17057.279683395464,2049.562795655032
11,North Texas,14,12,2,Navy,1915.9409313624828,16137.330235356696,1913.0409357641324
12,Tulane,14,11,3,North Texas,1913.0409357641324,15955.62568608039,1922.1634527581596
13,Virginia,14,11,3,Louisville,1880.4601309427796,15719.028195770981,1857.5514615642253
14,Utah,13,11,2,Kansas State,1805.2739557696275,15687.622431148822,2110.5661134891475
15,Notre Dame,12,10,2,Southern California,2001.0467706598672,15575.925879129723,2255.9932750525772
16,James Madison,14,12,2,Old Dominion,1762.3592432053247,15383.557232297613,1950.5381319150047
17,Oklahoma,13,10,3,Alabama,2099.0725232871437,15022.172947315199,2002.4974148200567
18,Texas,13,10,3,Texas A&M,2049.562795655032,15012.60422663895,2124.677566264846
19,Navy,13,11,2,South Florida,1820.0702133778132,14230.271670611859,1915.9409313624828
20,Vanderbilt,13,10,3,Tennessee,1744.9147084020046,14166.686924979209,1969.9044131867722
21,Southern California,13,9,4,Iowa,2036.9961707977538,14033.652307174885,2001.0467706598672
22,Texas Christian,13,9,4,Southern California,2001.0467706598672,13839.60380012701,1891.5001909200428
23,Michigan,13,9,4,Washington,1920.1835943384317,13748.311650751117,1898.8394011269331
24,Illinois,13,9,4,Southern California,2001.0467706598672,13696.899305965388,1833.483302041816
25,Southern Methodist,13,9,4,Miami (FL),2334.3352489546933,13583.101160022634,1969.482546117471
26,Louisville,13,9,4,Miami (FL),2334.3352489546933,13405.851610829137,1880.4601309427796
27,Houston,13,10,3,Arizona,1891.0055110696924,12951.392505832764,1811.444623359225
28,Arizona,13,9,4,Kansas State,1805.2739557696275,12892.219821388571,1891.0055110696924
29,Duke,14,9,5,Virginia,1857.5514615642253,12810.301510399995,1815.3093179603045
30,Iowa,13,9,4,Vanderbilt,1969.9044131867722,12489.345306609866,2036.9961707977538
31,Georgia Tech,13,9,4,Duke,1815.3093179603045,12344.605956956688,1715.8286912960323
32,Arizona State,13,8,5,Texas Tech,2295.3045595721255,12136.785480725266,1770.8385976341963
33,Nevada-Las Vegas,14,10,4,Hawaii,1583.1587019070134,12085.467262340444,1534.8638654105112
34,Washington,13,9,4,Illinois,1833.483302041816,12063.449464711159,1920.1835943384317
35,North Carolina State,13,8,5,Virginia,1857.5514615642253,11995.19041463188,1812.4196178278307
36,South Florida,13,9,4,North Texas,1913.0409357641324,11983.78133824143,1820.0702133778132
37,Wake Forest,13,9,4,Southern Methodist,1969.482546117471,11746.36744946602,1644.0639745928142
38,Kennesaw State,14,10,4,Louisiana Tech,1476.0115903039296,11598.457896406277,1539.449811426022
39,Iowa State,12,8,4,Iowa,2036.9961707977538,11571.958471049613,1811.5503058359352
40,Old Dominion,13,10,3,South Florida,1820.0702133778132,11501.791487704806,1762.3592432053247
41,East Carolina,13,9,4,Pittsburgh,1784.8647758967697,11487.662235662316,1743.8054301438196
42,New Mexico,13,9,4,San Diego State,1591.082279271239,11342.123019614099,1631.2638032518196
43,Western Michigan,14,10,4,Ohio,1555.6778019085252,11136.791387890382,1638.1407801011972
44,Boise State,14,9,5,New Mexico,1631.2638032518196,10979.474038931477,1616.2714552896718
45,Hawaii,13,9,4,San Diego State,1591.082279271239,10952.627403563296,1583.1587019070134
46,Minnesota,13,8,5,New Mexico,1631.2638032518196,10871.43450466651,1726.4898362732329
47,Pittsburgh,13,8,5,North Carolina State,1812.4196178278307,10832.943360303429,1784.8647758967697
48,Fresno State,13,9,4,Boise State,1616.2714552896718,10406.932295397208,1499.5840870875113
49,Connecticut,13,9,4,Duke,1815.3093179603045,10368.390318225649,1475.3295702860087
50,San Diego State,13,9,4,Boise State,1616.2714552896718,10224.261056014022,1591.082279271239
51,Jacksonville State,14,9,5,Kennesaw State,1539.449811426022,9961.67653781327,1419.6928132413207
52,Ohio,13,9,4,Nevada-Las Vegas,1534.8638654105112,9790.007148405448,1555.6778019085252
53,Louisiana State,13,7,6,Clemson,1632.5956816490443,9705.718618998524,1734.1145849031902
54,Army,13,7,6,Kansas State,1805.2739557696275,9636.477706747915,1642.5352324715873
55,Tennessee,13,8,5,Kentucky,1593.0884641788264,9525.34772520092,1744.9147084020046
56,Western Kentucky,13,9,4,Louisiana Tech,1476.0115903039296,9490.150466783422,1409.599645881271
57,Missouri,13,8,5,South Carolina,1561.2988435851214,9386.679379785632,1742.3115877866812
58,Northwestern,13,7,6,Penn State,1848.9644529346685,9305.7058931034,1625.6313691145438
59,California,13,7,6,Southern Methodist,1969.482546117471,9141.646475052657,1429.8790466646647
60,Memphis,13,8,5,South Florida,1820.0702133778132,9073.84508173583,1519.63507310069
61,Penn State,13,7,6,Clemson,1632.5956816490443,9031.114882222515,1848.9644529346685
62,Clemson,13,7,6,Louisville,1880.4601309427796,9026.447963095661,1632.5956816490443
63,Toledo,13,8,5,Western Kentucky,1409.599645881271,8904.293881016176,1546.034227776802
64,Cincinnati,13,7,6,Iowa State,1811.5503058359352,8872.681104033778,1642.0508296966811
65,Nebraska,13,7,6,Cincinnati,1642.0508296966811,8827.198296638022,1619.8993029215019
66,Troy,14,8,6,Texas State,1510.440847914675,8763.963841208304,1371.526062189461
67,Washington State,13,7,6,San Diego State,1591.082279271239,8672.459207322232,1680.1411126361404
68,Louisiana Tech,13,8,5,Coastal Carolina,1329.7474605205064,8382.175630534963,1476.0115903039296
69,Texas-San Antonio,13,7,6,Tulane,1922.1634527581596,8274.781908409152,1710.8490223613328
70,Texas State,13,7,6,Texas-San Antonio,1710.8490223613328,8217.474096765305,1510.440847914675
71,Arkansas State,13,7,6,Texas State,1510.440847914675,8019.759109376313,1319.071891063598
72,Florida International,13,7,6,Jacksonville State,1419.6928132413207,7779.147399723519,1356.407494864538
73,Georgia Southern,13,7,6,Jacksonville State,1419.6928132413207,7753.579292411095,1390.5381675775686
74,Southern Mississippi,13,7,6,Jacksonville State,1419.6928132413207,7675.676353685049,1254.7534756563025
75,Delaware,13,7,6,Louisiana Tech,1476.0115903039296,7623.6561903022675,1225.9694202954254
76,Miami (OH),14,7,7,Western Michigan,1638.1407801011972,7595.211576625477,1334.6792384941848
77,Kansas State,12,6,6,Texas Christian,1891.5001909200428,7399.498057752298,1805.2739557696275
78,Missouri State,13,7,6,Florida International,1356.407494864538,7245.584005802158,1281.0055350147975
79,Louisiana,13,6,7,Texas State,1510.440847914675,6998.032200683014,1250.8982549623104
80,Florida State,12,5,7,Alabama,2099.0725232871437,6890.986356525516,1510.5618992425639
81,Baylor,12,5,7,Southern Methodist,1969.482546117471,6815.4001112180595,1508.7854039343154
82,Central Michigan,13,7,6,Eastern Michigan,1153.5765752092668,6568.988475938081,1301.3777975784133
83,Utah State,13,6,7,Fresno State,1499.5840870875113,6559.479824300452,1436.8653613805736
84,Florida,12,4,8,Texas,2124.677566264846,6193.032641896503,1588.4693414801993
85,Wisconsin,12,4,8,Washington,1920.1835943384317,6126.566316185143,1601.4394311529688
86,Coastal Carolina,13,6,7,Marshall,1318.0879639916138,6097.87216229968,1329.7474605205064
87,Kansas,12,5,7,West Virginia,1503.850507578406,6010.691688819249,1551.5721569480827
88,Kentucky,12,5,7,Florida,1588.4693414801993,5996.561538646799,1593.0884641788264
89,Marshall,12,5,7,Old Dominion,1762.3592432053247,5791.608173220844,1318.0879639916138
90,Rutgers,12,5,7,Ohio,1555.6778019085252,5676.77377236838,1580.0292758274284
91,Mississippi State,13,5,8,Arizona State,1770.8385976341963,5541.130217556643,1458.5138365437426
92,Central Florida,12,5,7,West Virginia,1503.850507578406,5313.500744299651,1441.8908814746064
93,Auburn,12,5,7,Baylor,1508.7854039343154,5212.889419242843,1527.6255964110744
94,West Virginia,12,4,8,Houston,1811.444623359225,5209.536534152693,1503.850507578406
95,Stanford,12,4,8,Florida State,1510.5618992425639,5201.445728329514,1498.5965970812417
96,South Carolina,12,4,8,Kentucky,1593.0884641788264,4953.772326565367,1561.2988435851214
97,Rice,13,5,8,Connecticut,1475.3295702860087,4866.825015056913,1230.2364146333261
98,UCLA,12,3,9,Penn State,1848.9644529346685,4663.463058297644,1503.7551410590206
99,Akron,12,5,7,Central Michigan,1301.3777975784133,4492.966182969488,1060.1580168092166
100,Appalachian State,13,5,8,Marshall,1318.0879639916138,4423.17019777675,1110.9961955146807
