rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
1,Michigan,15,15,0,Washington,2432.5235670871566,25447.91872096431,2677.691079673709
2,Washington,15,14,1,Oregon,2294.938777629224,24262.77736575715,2432.5235670871566
3,Georgia,14,13,1,Florida State,2259.81438581642,20174.541638582064,2511.2039865617144
4,Texas,14,12,2,Alabama,2363.6382632254304,19674.702307362608,2250.862748023251
5,Florida State,14,13,1,Louisiana State,2091.143315798089,19600.913139005923,2259.81438581642
6,Alabama,14,12,2,Georgia,2511.2039865617144,19087.143984078,2363.6382632254304
7,Oregon,14,12,2,Liberty,1992.671139720315,18207.414855099225,2294.938777629224
8,Ohio State,13,11,2,Penn State,2056.1433244642435,16486.51109461548,2171.8734252344852
9,Missouri,13,11,2,Ohio State,2171.8734252344852,16441.1000818531,2229.1943472174294
10,Liberty,14,13,1,Western Kentucky,1496.8408512052401,16065.33579828286,1992.671139720315
11,Oklahoma,13,10,3,Texas,2250.862748023251,15780.43326047178,1973.3649188682516
12,Louisville,14,10,4,Notre Dame,2003.2343226623368,15679.842125684085,1826.5959306741106
13,Mississippi,13,11,2,Louisiana State,2091.143315798089,15576.214833949576,2190.6307064505436
14,Iowa,14,10,4,Northwestern,1742.955302499401,15073.039824426845,1825.8150746004678
15,Oklahoma State,14,10,4,Oklahoma,1973.3649188682516,14892.132194456353,1789.7888703086085
16,James Madison,13,11,2,Troy,1850.3782963258493,14666.824138175423,1783.2873888225745
17,Louisiana State,13,10,3,Missouri,2229.1943472174294,14483.148391132992,2091.143315798089
18,Penn State,13,10,3,Iowa,1825.8150746004678,14218.39803993417,2056.1433244642435
19,Troy,14,11,3,Appalachian State,1682.9832108753894,14137.247660701016,1850.3782963258493
20,Arizona,13,10,3,Oklahoma,1973.3649188682516,14049.58596639685,2080.420531693651
21,Notre Dame,13,10,3,North Carolina State,1868.133578074623,13779.686929662661,2003.2343226623368
22,Tulane,14,11,3,Memphis,1766.3996660536402,13464.527015831429,1678.8020582037313
23,Toledo,14,11,3,Miami (OH),1696.0549758528914,13193.10350014529,1649.3518019468893
24,Kansas State,13,9,4,North Carolina State,1868.133578074623,13084.978926750899,1955.016551577633
25,Clemson,13,9,4,Notre Dame,2003.2343226623368,12691.22074975741,1897.7862421277437
26,West Virginia,13,9,4,Texas Tech,1707.7169592713472,12517.675024881994,1793.3252733256152
27,North Carolina State,13,9,4,Clemson,1897.7862421277437,12481.516060569042,1868.133578074623
28,Memphis,13,10,3,Iowa State,1741.9421243634786,12383.752744911853,1766.3996660536402
29,Miami (OH),14,11,3,Toledo,1649.3518019468893,12303.218890021377,1696.0549758528914
30,Tennessee,13,9,4,Iowa,1825.8150746004678,12281.84023215243,1951.4879897126311
31,Southern Methodist,14,11,3,Memphis,1766.3996660536402,12220.38211505215,1665.899055152211
32,Southern California,13,8,5,Arizona,2080.420531693651,12190.152249563871,1793.0060492096156
33,Kansas,13,9,4,Oklahoma,1973.3649188682516,12163.337170765972,1854.656418899413
34,Wyoming,13,9,4,Texas Tech,1707.7169592713472,11838.185228649312,1550.3095893343016
35,Duke,13,8,5,Clemson,1897.7862421277437,11457.246318778441,1843.8587715462481
36,Appalachian State,14,9,5,James Madison,1783.2873888225745,11406.391334840398,1682.9832108753894
37,Northwestern,13,8,5,Maryland,1755.9506217856122,11223.090680959967,1742.955302499401
38,North Carolina,13,8,5,Duke,1843.8587715462481,11209.08021723586,1648.0227588194575
39,Coastal Carolina,13,8,5,Appalachian State,1682.9832108753894,11138.120565670371,1602.4000311515283
40,Air Force,13,9,4,James Madison,1783.2873888225745,11108.421254936753,1547.2771795397764
41,Texas-San Antonio,13,9,4,Texas State,1473.1916978788668,10931.347968667633,1604.7163918091414
42,New Mexico State,15,10,5,Western Kentucky,1496.8408512052401,10927.746749397636,1486.5564711715565
