rank,team,games,wins,losses,best_win_name,best_win_rating,resume_score,team_elo
1,Louisiana State,14,13,1,Georgia,2134.186087515549,20598.65472378407,2319.5057815740934
2,Southern California,13,12,1,Michigan,2147.2257235085235,19700.672677588518,2332.025519720918
3,Ohio State,13,11,2,Iowa,2046.18818351609,18512.64430298823,2124.39370398157
4,Oklahoma,14,12,2,Texas,1937.5798722814723,18349.062760020213,2051.4186016586623
5,Georgia,14,11,3,Purdue,1966.9952741596,17242.569430356118,2134.186087515549
6,Miami (OH),14,13,1,Bowling Green,1871.6472439752793,17157.60818601492,2140.310037010312
7,Miami (FL),13,11,2,Florida State,1983.599685710025,17124.848533919198,1985.218804227969
8,Florida State,13,10,3,Maryland,2005.8095741885681,16724.14886243335,1983.599685710025
9,Tennessee,13,10,3,Miami (FL),1985.218804227969,15241.874461873558,1883.8900233293666
10,Washington State,13,10,3,Texas,1937.5798722814723,15167.970925199726,1962.0587218751352
11,Boise State,14,13,1,Texas Christian,1735.7533792606114,15144.463387329743,2019.9602025227734
12,Iowa,13,10,3,Michigan,2147.2257235085235,15142.695710783351,2046.18818351609
13,Utah,12,10,2,California,1801.8030084149257,14996.70694856948,1909.574945667547
14,Michigan,13,10,3,Ohio State,2124.39370398157,14991.20862042647,2147.2257235085235
15,Maryland,13,10,3,Clemson,1945.1504656618336,14749.118174328998,2005.8095741885681
16,Texas,13,10,3,Kansas State,2024.136515607659,14425.912253383902,1937.5798722814723
17,Nebraska,13,10,3,Oklahoma State,1755.7816414801923,14247.572735987913,1819.3552494571063
18,Mississippi,13,10,3,Florida,1885.733358264435,14235.819322771838,1951.1484220569766
19,Kansas State,15,11,4,Oklahoma,2051.4186016586623,14225.326633091896,2024.136515607659
20,Bowling Green,14,11,3,Purdue,1966.9952741596,13483.905526072216,1871.6472439752793
21,Texas Christian,13,11,2,Louisville,1579.7241399016302,13387.989846915329,1735.7533792606114
22,Purdue,13,9,4,Iowa,2046.18818351609,13050.192808749069,1966.9952741596
23,Clemson,13,9,4,Florida State,1983.599685710025,13005.598246878504,1945.1504656618336
24,Arkansas,13,9,4,Texas,1937.5798722814723,12988.316590818797,1870.4765912860091
25,Minnesota,13,10,3,Oregon,1720.8980226207534,12888.531890891765,1806.1486704331137
26,Oregon,13,8,5,Michigan,2147.2257235085235,12529.008722346764,1720.8980226207534
27,California,14,8,6,Southern California,2332.025519720918,12480.272330419062,1801.8030084149257
28,North Carolina State,13,8,5,Clemson,1945.1504656618336,12064.518259674629,1815.4186992335638
29,Virginia,13,8,5,Georgia Tech,1696.6068198124544,12033.994011968327,1808.7307899840841
30,Southern Mississippi,13,9,4,Texas Christian,1735.7533792606114,11972.315230246635,1717.553140911736
31,Florida,13,8,5,Louisiana State,2319.5057815740934,11553.226298239624,1885.733358264435
32,Boston College,13,8,5,Virginia Tech,1695.3586119821425,11443.94457673037,1704.1627050698821
33,Michigan State,13,8,5,Iowa,2046.18818351609,11377.37852855099,1704.281798802428
34,Memphis,13,9,4,Mississippi,1951.1484220569766,11333.975499922617,1629.4360371741275
35,Georgia Tech,13,7,6,Maryland,2005.8095741885681,11214.688549940938,1696.6068198124544
36,Pittsburgh,13,8,5,Boston College,1704.1627050698821,11070.32586745116,1671.6529906641929
37,Northern Illinois,12,10,2,Maryland,2005.8095741885681,11015.771365035125,1617.4389844496159
38,Oklahoma State,13,9,4,Kansas State,2024.136515607659,10967.55645148938,1755.7816414801923
39,Texas Tech,13,8,5,Mississippi,1951.1484220569766,10827.110407948956,1681.3785149201958
40,West Virginia,13,8,5,Boston College,1704.1627050698821,10728.563599851028,1815.5571432274896
41,Oregon State,13,8,5,Boise State,2019.9602025227734,10689.281848405313,1765.4180053226994
42,Wisconsin,13,7,6,Ohio State,2124.39370398157,10466.205530845265,1713.4039695872125
43,New Mexico,13,8,5,Utah,1909.574945667547,10245.626199635462,1651.697471571693
44,Virginia Tech,13,8,5,Miami (FL),1985.218804227969,10066.199803814972,1695.3586119821425
45,Auburn,13,8,5,Tennessee,1883.8900233293666,10049.47869390221,1872.6654796662547
46,Louisville,13,9,4,Syracuse,1579.0094339442694,9942.817525934246,1579.7241399016302
47,Fresno State,14,9,5,Oregon State,1765.4180053226994,9863.823288455784,1550.5043371801542
48,Hawaii,14,9,5,Fresno State,1550.5043371801542,9717.23212477094,1559.5271204455614
49,Colorado State,13,7,6,California,1801.8030084149257,9422.757168443204,1604.277906956768
50,Toledo,12,8,4,Pittsburgh,1671.6529906641929,9309.683527924983,1514.2100089526214
51,Missouri,13,8,5,Nebraska,1819.3552494571063,9263.54639475682,1676.9249686320989
52,Connecticut,12,9,3,Wake Forest,1581.0132334395469,9184.28332814634,1666.5670940558853
53,Nevada-Las Vegas,12,6,6,Wisconsin,1713.4039695872125,9155.823732254239,1500.7523341297904
54,Washington,12,6,6,Washington State,1962.0587218751352,8712.12293131003,1637.0427852028763
55,UCLA,13,6,7,California,1801.8030084149257,8581.34421123019,1526.0140519465021
56,North Texas,13,9,4,Troy,1303.3826470030972,8490.159129946229,1481.663065992494
57,Air Force,12,7,5,Northwestern,1652.6706072242469,8232.3569354406991,1473.2886351696666
58,Marshall,12,8,4,Kansas State,2024.136515607659,8117.285827800284,1566.679354680459
59,Tulsa,13,8,5,Hawaii,1559.5271204455614,8062.26117855393,1476.9880420352422
60,Navy,13,8,5,Air Force,1473.2886351696666,7958.0191188579065,1394.615173592392
61,Notre Dame,12,5,7,Washington State,1962.0587218751352,7899.767482034988,1599.5475825648218
62,Northwestern,13,6,7,Wisconsin,1713.4039695872125,7885.889302837672,1652.6706072242469
63,Syracuse,12,6,6,Boston College,1704.1627050698821,7871.269626699652,1579.0094339442694
64,Wake Forest,12,5,7,Clemson,1945.1504656618336,7848.169379396697,1581.0132334395469
65,Houston,13,7,6,Rice,1341.6558157735337,7721.761029523104,1409.3767255081323
