season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2002,22,Siena,ITA 2nd,1638.01262336686,17,17,4,38,Sampdoria,1635.58410909293
2002,31,Sampdoria,ITA 2nd,1610.76678385976,17,16,5,38,Lecce,1597.30910232945
2002,41,Lecce,ITA 2nd,1597.30967080826,15,18,5,38,Sampdoria,1612.76749433601
2002,64,Ancona,ITA 2nd,1564.11521212933,16,13,9,38,Vicenza,1582.7936478621
2002,76,Palermo,ITA 2nd,1546.91302445185,15,13,10,38,Siena,1643.78059050428
2002,84,Bari,ITA 2nd,1535.50319136176,10,19,9,38,Triestina,1599.19398770483
2002,86,Triestina,ITA 2nd,1530.74632220224,16,10,12,38,Siena,1634.82212853209
2002,87,Ternana,ITA 2nd,1530.36665397335,14,13,11,38,Siena,1625.66011393759
2002,92,Cagliari,ITA 2nd,1522.50099871278,14,12,12,38,Sampdoria,1606.13042260778
2002,98,Vicenza,ITA 2nd,1517.2264465953,13,15,10,38,Cagliari,1522.56367007165
2002,119,Verona,ITA 2nd,1495.89689091814,10,16,12,38,Triestina,1555.95024753635
2002,122,Livorno,ITA 2nd,1493.05506709881,12,13,13,38,Triestina,1517.745341859
2002,133,Napoli,ITA 2nd,1487.8134910339,10,15,13,38,Vicenza,1564.56169972755
2002,153,Messina,ITA 2nd,1471.70970419951,10,16,12,38,Cagliari,1528.98682392705
2002,165,Ascoli,ITA 2nd,1462.16250676251,13,9,16,38,Siena,1622.80051760445
2002,185,Catania,ITA 2nd,1447.2796760991,12,8,18,38,Lecce,1584.12665994168
2002,192,Genoa,ITA 2nd,1444.23851082393,9,12,17,38,Ancona,1570.46369771097
2002,195,Venezia,ITA 2nd,1441.85536314225,11,12,15,38,Sampdoria,1636.49023718881
2002,246,Cosenza,ITA 2nd,1354.26608335087,10,6,22,38,Triestina,1559.87451867288
2002,257,Salernitana,ITA 2nd,1308.26177910949,4,11,23,38,Lecce,1580.92674541477
