season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2004,2,Rangers,SCO 1st,1846.74275362255,29,6,3,38,Celtic,1790.42500921558
2004,9,Celtic,SCO 1st,1756.58716334956,30,2,6,38,Rangers,1845.78900508198
2004,66,Aberdeen,SCO 1st,1557.83628317941,18,7,13,38,Celtic,1793.71880897018
2004,88,Hibernian,SCO 1st,1528.92092867019,18,7,13,38,Celtic,1790.60509526828
2004,114,Motherwell,SCO 1st,1499.49669080383,13,9,16,38,Celtic,1774.11977798363
2004,133,Hearts,SCO 1st,1484.2774417331,13,11,14,38,Celtic,1798.24482986948
2004,171,Kilmarnock,SCO 1st,1451.23013221295,15,4,19,38,Hibernian,1536.90244114594
2004,173,Inverness C,SCO 1st,1451.10595547613,11,11,16,38,Hibernian,1581.13905364529
2004,241,Dundee United,SCO 1st,1387.62547898466,8,12,18,38,Rangers,1861.93091239964
2004,249,Livingston,SCO 1st,1374.21405085978,9,8,21,38,Hibernian,1551.25803025282
2004,259,Dunfermline,SCO 1st,1350.31507746162,8,10,20,38,Aberdeen,1534.50932974255
2004,264,Dundee,SCO 1st,1311.64804364621,8,9,21,38,Aberdeen,1578.08882166279
