season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2007,22,Le Havre,FRA 2nd,1673.53383421634,22,12,4,38,Nantes,1616.33373015912
2007,47,Nantes,FRA 2nd,1595.66246572364,19,13,6,38,Grenoble,1604.42096035722
2007,53,Grenoble,FRA 2nd,1583.56119990103,17,12,9,38,Bastia,1569.05291323702
2007,68,Sedan,FRA 2nd,1561.9594083825,15,13,10,38,Le Havre,1687.61168545758
2007,80,Montpellier,FRA 2nd,1546.79965473612,14,12,12,38,Guingamp,1524.81408494834
2007,81,Brest,FRA 2nd,1541.44495966725,15,12,11,38,Troyes,1615.08197179131
2007,86,Clermont,FRA 2nd,1536.28143104488,14,15,9,38,Le Havre,1672.8621802886
2007,88,Guingamp,FRA 2nd,1530.36732725602,11,15,12,38,Angers,1539.31423263612
2007,94,Angers,FRA 2nd,1526.61687962936,13,14,11,38,Bastia,1553.45696277098
2007,110,Amiens,FRA 2nd,1505.50029252579,11,12,15,38,Nantes,1619.34757168786
2007,120,Ajaccio,FRA 2nd,1494.99817533738,14,12,12,38,Nantes,1632.55999488274
2007,134,Reims,FRA 2nd,1486.36806090519,12,10,16,38,Montpellier,1558.6553630985
2007,154,Troyes,FRA 2nd,1466.54652352138,15,12,11,38,Le Havre,1682.47298656877
2007,163,Chateauroux,FRA 2nd,1462.16848248479,11,12,15,38,Grenoble,1570.40975297286
2007,169,Bastia,FRA 2nd,1458.83462093171,14,9,15,38,Troyes,1575.77138775946
2007,187,Niort,FRA 2nd,1447.9502835347,11,8,19,38,Grenoble,1598.85466033215
2007,218,Boulogne,FRA 2nd,1416.30237098958,12,7,19,38,Nantes,1663.69655172244
2007,223,Dijon,FRA 2nd,1409.69821208665,9,15,14,38,Sedan,1578.19422924536
2007,240,Libourne,FRA 2nd,1380.07233402427,7,11,20,38,Le Havre,1675.605768818
2007,242,Gueugnon,FRA 2nd,1375.33348310143,5,12,21,38,Angers,1530.37826261736
