season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2008,8,AZ Alkmaar,NED 1st,1760.67649074072,25,5,4,34,PSV Eindhoven,1716.73129607888
2008,16,PSV Eindhoven,NED 1st,1703.94214111099,19,8,7,34,Ajax,1668.93560287987
2008,18,Twente,NED 1st,1692.5986123318,20,9,5,34,AZ Alkmaar,1778.82257799126
2008,38,Ajax,NED 1st,1624.64224627482,21,5,8,34,Twente,1705.74931296897
2008,69,Groningen,NED 1st,1559.71009264449,17,5,12,34,Ajax,1692.10778953859
2008,70,Heerenveen,NED 1st,1558.93524144089,17,9,8,34,PSV Eindhoven,1683.83073721606
2008,96,Feyenoord,NED 1st,1527.85851001162,12,9,13,34,Twente,1699.108586862
2008,122,Vitesse,NED 1st,1494.84305827639,11,10,13,34,AZ Alkmaar,1802.72975961649
2008,154,Utrecht,NED 1st,1466.04713918777,11,11,12,34,Twente,1683.52988900108
2008,166,Nijmegen,NED 1st,1459.38507086102,9,15,10,34,PSV Eindhoven,1691.13896055948
2008,196,Sparta,NED 1st,1426.30489345029,9,8,17,34,Ajax,1651.19534213605
2008,206,Den Haag,NED 1st,1417.63064092001,8,8,18,34,AZ Alkmaar,1742.1024321652
2008,225,NAC Breda,NED 1st,1394.91181566879,13,6,15,34,AZ Alkmaar,1760.63885318394
2008,232,Heracles,NED 1st,1387.6942303528199,7,11,16,34,Feyenoord,1529.13377780455
2008,233,Volendam,NED 1st,1387.37668605737,7,8,19,34,Feyenoord,1524.81954920452
2008,235,Roda JC,NED 1st,1385.71060377318,7,9,18,34,PSV Eindhoven,1697.06789339167
2008,236,Willem II,NED 1st,1384.93291114839,10,7,17,34,Ajax,1624.6379359332
2008,245,Graafschap,NED 1st,1366.79961574865,7,9,18,34,Heerenveen,1614.41086299421
