rank,team,league,elo,wins,draws,losses,best_win_name,best_win_elo
1,Bayern Munich,GER,1686.4950315322776,29,4,1,Leverkusen,1548.0194052892684
2,Barcelona,ESP,1681.0135734623052,32,4,2,Ath Madrid,1584.6120993484658
3,Porto,POR,1663.0606716829632,24,6,0,Benfica,1654.4320414372567
4,Benfica,POR,1649.0748196289953,24,5,1,Pacos Ferreira,1554.5870323311556
5,Real Madrid,ESP,1642.6121774593728,26,7,5,Barcelona,1648.928383469316
6,Man United,ENG,1635.2887337838868,28,5,5,Man City,1575.4300161931321
7,Ajax,NED,1632.7606586553488,22,10,2,PSV Eindhoven,1573.3780525611946
8,Paris SG,FRA,1632.0516222361196,25,8,5,Lyon,1563.0949215100081
9,Juventus,ITA,1629.8536738694106,27,6,5,Milan,1582.504787279996
10,Hertha,GER2,1629.2742712789657,22,10,2,Braunschweig,1585.4457864649366
11,Monaco,FRA2,1604.5303903771455,21,13,4,Nimes,1533.0090752855353
12,Napoli,ITA,1602.8842542874656,23,9,6,Roma,1535.243698753075
13,Verona,ITA2,1601.241257105703,23,13,6,Sassuolo,1572.4569408284224
14,Arsenal,ENG,1600.3667582040848,21,10,7,West Brom,1520.6090868250856
15,Chelsea,ENG,1599.560751555124,22,9,7,Man United,1646.0672617272473
16,Milan,ITA,1596.759927793027,21,9,8,Juventus,1575.0518504421336
17,Man City,ENG,1596.0712496229544,23,9,6,Man United,1654.4466554393503
18,Villarreal,ESP2,1593.3692275398294,21,14,7,Almeria,1563.5609067100524
19,Tottenham,ENG,1591.8143356453736,21,9,8,Man City,1606.2647722289657
20,Sassuolo,ITA2,1590.8258313014194,25,10,7,Livorno,1587.585907381969
21,Feyenoord,NED,1588.4441883949883,21,6,7,Vitesse,1588.287536695113
22,Dortmund,GER,1584.1023026257362,19,9,6,Leverkusen,1559.4712867945336
23,Leverkusen,GER,1583.7218621163836,19,8,7,Bayern Munich,1572.3946711668348
24,Empoli,ITA2,1580.628136392287,20,13,9,Livorno,1582.907623477285
25,Elche,ESP2,1580.531061464597,23,13,6,Villarreal,1562.640401238461
26,Udinese,ITA,1580.023260159275,18,12,8,Inter,1544.9739783881537
