season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2012,8,Juventus,ITA 1st,1758.39766811593,27,6,5,38,Napoli,1729.96323786895
2012,14,Napoli,ITA 1st,1691.92346378769,23,9,6,38,Fiorentina,1647.87349297078
2012,19,Milan,ITA 1st,1673.74248065126,21,9,8,38,Juventus,1774.95729096591
2012,31,Fiorentina,ITA 1st,1637.59962908642,21,7,10,38,Udinese,1633.5497450302
2012,32,Udinese,ITA 1st,1633.55324310132,18,12,8,38,Milan,1647.50517208099
2012,61,Roma,ITA 1st,1577.22674544527,18,8,12,38,Juventus,1764.46259145865
2012,82,Lazio,ITA 1st,1536.84964547781,18,7,13,38,Milan,1622.6285099941001
2012,92,Catania,ITA 1st,1519.29015248658,15,11,12,38,Fiorentina,1614.72711712351
2012,120,Cagliari,ITA 1st,1490.31608956847,12,11,15,38,Fiorentina,1626.06075669793
2012,136,Parma,ITA 1st,1478.33669531932,13,10,15,38,Roma,1579.34214742251
2012,153,Bologna,ITA 1st,1464.73146920228,11,11,16,38,Napoli,1685.47081244489
2012,182,Inter,ITA 1st,1442.49583380517,16,6,16,38,Juventus,1809.62531775065
2012,189,Chievo,ITA 1st,1438.7202209124,12,9,17,38,Napoli,1691.23313177669
2012,207,Sampdoria,ITA 1st,1427.61770024735,11,10,17,38,Juventus,1776.95924619204
2012,208,Torino,ITA 1st,1426.74489063256,8,16,14,38,Lazio,1511.30053739324
2012,213,Genoa,ITA 1st,1421.40288179215,8,14,16,38,Udinese,1593.40769276218
2012,218,Palermo,ITA 1st,1408.09133521975,6,14,18,38,Roma,1575.71927002105
2012,222,Atalanta,ITA 1st,1403.26595968103,11,9,18,38,Napoli,1719.34943740629
2012,242,Siena,ITA 1st,1365.8627431377,9,9,20,38,Lazio,1564.177752187
2012,266,Pescara,ITA 1st,1203.83115232954,6,4,28,38,Fiorentina,1659.39267862859
