season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2013,11,Standard,BEL 1st,1741.57216734456,20,7,3,30,Lokeren,1617.03757274123
2013,23,Club Brugge,BEL 1st,1683.16392204788,19,6,5,30,Standard,1760.27140766896
2013,31,Anderlecht,BEL 1st,1642.69699312304,18,3,9,30,Club Brugge,1658.06881337894
2013,44,Lokeren,BEL 1st,1600.07019659061,15,6,9,30,Anderlecht,1651.25445325818
2013,54,Waregem,BEL 1st,1584.05750605123,14,11,5,30,Standard,1780.63412715375
2013,92,Gent,BEL 1st,1535.59000125835,12,8,10,30,Standard,1777.44782946063
2013,134,Waasland-Beveren,BEL 1st,1483.12590881125,6,13,11,30,Club Brugge,1685.39974959081
2013,142,Kortrijk,BEL 1st,1476.43183803867,10,9,11,30,Club Brugge,1724.22614837242
2013,147,Genk,BEL 1st,1469.85713317024,14,3,13,30,Club Brugge,1691.69581655027
2013,160,Charleroi,BEL 1st,1461.24959717364,8,10,12,30,Anderlecht,1671.26620093518
2013,193,Lierse,BEL 1st,1421.92615229528,9,5,16,30,Anderlecht,1682.02723884742
2013,196,Oostende,BEL 1st,1417.79773203213,9,7,14,30,Genk,1589.5416889179
2013,222,Mechelen,BEL 1st,1395.0161034184,8,7,15,30,Anderlecht,1683.35342910833
2013,233,Oud-Heverlee Leuven,BEL 1st,1380.89922869705,6,9,15,30,Anderlecht,1648.39535698756
2013,236,Cercle Brugge,BEL 1st,1374.15398774947,9,6,15,30,Club Brugge,1668.78508694501
2013,249,Bergen,BEL 1st,1332.3915321982,6,4,20,30,Lokeren,1578.61285638964
