season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2015,16,Leicester,ENG 1st,1710.78571285741,23,12,3,38,Tottenham,1652.62817731425
2015,29,Arsenal,ENG 1st,1637.24783046525,20,11,7,38,Leicester,1710.24600437034
2015,31,Tottenham,ENG 1st,1632.08395128334,19,13,6,38,Man City,1631.94392371994
2015,34,Southampton,ENG 1st,1621.42680858068,18,9,11,38,Tottenham,1685.0432972445
2015,49,Man United,ENG 1st,1592.57933591338,19,9,10,38,Arsenal,1644.86925342532
2015,51,Man City,ENG 1st,1590.98486091643,19,9,10,38,Southampton,1596.08520271825
2015,60,West Ham,ENG 1st,1574.19480730821,16,14,8,38,Tottenham,1683.19875374807
2015,64,Liverpool,ENG 1st,1569.48446116643,16,12,10,38,Leicester,1709.01219068735
2015,76,Chelsea,ENG 1st,1546.70052492334,12,14,12,38,Arsenal,1639.42122833185
2015,114,Swansea,ENG 1st,1492.65266754493,12,11,15,38,Arsenal,1632.10380766041
2015,148,Sunderland,ENG 1st,1472.12334902319,9,12,17,38,Man United,1579.54069915785
2015,150,Everton,ENG 1st,1470.513633215,11,14,13,38,Southampton,1614.16649976456
2015,176,Stoke,ENG 1st,1449.47068060792,14,9,15,38,Man City,1615.35858545975
2015,194,Newcastle,ENG 1st,1437.96485056036,9,10,19,38,Tottenham,1672.10849806346
2015,200,West Brom,ENG 1st,1430.97829071865,10,13,15,38,Arsenal,1681.68510965926
2015,209,Watford,ENG 1st,1417.62412985823,12,9,17,38,West Ham,1613.85120788471
2015,219,Bournemouth,ENG 1st,1406.17716701877,11,9,18,38,Man United,1625.41452854688
2015,227,Crystal Palace,ENG 1st,1401.44745262388,11,9,18,38,Southampton,1567.91799024624
2015,259,Norwich,ENG 1st,1329.0482702269,9,7,22,38,Man United,1608.87113687514
2015,268,Aston Villa,ENG 1st,1216.51121518769,3,8,27,38,Crystal Palace,1510.78083728158
