season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2015,7,Real Madrid,ESP 1st,1835.76376447973,28,6,4,38,Barcelona,1848.21220034003
2015,9,Barcelona,ESP 1st,1822.45785337584,29,4,5,38,Real Madrid,1816.26813277858
2015,10,Ath Madrid,ESP 1st,1781.6720454473,28,4,6,38,Real Madrid,1786.14803871699
2015,55,Ath Bilbao,ESP 1st,1582.82459334139,18,8,12,38,Eibar,1552.35609556736
2015,91,Villarreal,ESP 1st,1519.97414082443,18,10,10,38,Real Madrid,1799.59928322613
2015,100,Malaga,ESP 1st,1507.69535891124,12,12,14,38,Ath Madrid,1784.85287819749
2015,109,Celta,ESP 1st,1501.09611751626,17,9,12,38,Barcelona,1840.78267737081
2015,129,Sociedad,ESP 1st,1483.84077697956,13,9,16,38,Barcelona,1836.35359449565
2015,159,Sevilla,ESP 1st,1461.56422016577,14,10,14,38,Real Madrid,1834.79367185476
2015,173,Las Palmas,ESP 1st,1450.62282982426,12,8,18,38,Villarreal,1591.10199493238
2015,182,Valencia,ESP 1st,1442.23131205789,11,11,16,38,Barcelona,1817.82677758988
2015,184,Betis,ESP 1st,1441.81199098122,11,12,15,38,Sociedad,1500
2015,196,Vallecano,ESP 1st,1433.0325303875,9,11,18,38,Villarreal,1581.69831360281
2015,202,Granada,ESP 1st,1429.19434427195,10,9,19,38,Ath Bilbao,1577.42904137015
2015,204,La Coruna,ESP 1st,1425.25678954823,8,18,12,38,Villarreal,1566.95231924365
2015,210,Sp Gijon,ESP 1st,1417.35196254338,10,9,19,38,Ath Madrid,1791.02580999024
2015,232,Espanol,ESP 1st,1393.77850385612,12,7,19,38,Ath Bilbao,1591.12496144276
2015,240,Eibar,ESP 1st,1380.00993988276,11,10,17,38,Ath Bilbao,1579.22817514449
2015,249,Getafe,ESP 1st,1361.18372486267,9,9,20,38,Villarreal,1544.16362824279
2015,260,Levante,ESP 1st,1328.6372007425,8,8,22,38,Ath Madrid,1795.41086082372
