season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2017,46,Zaragoza,ESP 2nd,1610.98789811707,20,11,11,42,Sp Gijon,1643.26106401769
2017,52,Vallecano,ESP 2nd,1593.05557154582,21,13,8,42,Huesca,1645.4371165363
2017,54,Huesca,ESP 2nd,1589.56390462003,21,12,9,42,Valladolid,1589.38498491961
2017,61,Valladolid,ESP 2nd,1581.62414690552,19,10,13,42,Huesca,1659.22514467405
2017,62,Sp Gijon,ESP 2nd,1581.02115910649,21,8,13,42,Vallecano,1634.14888003772
2017,86,Osasuna,ESP 2nd,1542.95760942061,16,16,10,42,Vallecano,1590.15265873937
2017,87,Cadiz,ESP 2nd,1539.70388724308,16,16,10,42,Zaragoza,1595.243656245
2017,88,Numancia,ESP 2nd,1539.34108117128,18,11,13,42,Sp Gijon,1601.06146130961
2017,95,Tenerife,ESP 2nd,1523.80880364819,15,14,13,42,Sp Gijon,1614.66600928979
2017,97,Cordoba,ESP 2nd,1522.54259887681,15,6,21,42,Vallecano,1662.86262967476
2017,106,Oviedo,ESP 2nd,1513.6865378606,18,11,13,42,Huesca,1602.94639438651
2017,108,Alcorcon,ESP 2nd,1512.26444631234,12,16,14,42,Vallecano,1646.83521330267
2017,120,Granada,ESP 2nd,1491.47570842764,17,10,15,42,Huesca,1633.12899553878
2017,123,Gimnastic,ESP 2nd,1488.78569203739,15,7,20,42,Huesca,1618.00026748313
2017,151,Almeria,ESP 2nd,1458.7169382468,12,12,18,42,Zaragoza,1576.44553161519
2017,152,Albacete,ESP 2nd,1458.61192840763,11,16,15,42,Granada,1555.81871503662
2017,161,Leonesa,ESP 2nd,1449.13221605579,11,15,16,42,Huesca,1573.56699067749
2017,163,Reus Deportiu,ESP 2nd,1447.30659759786,12,16,14,42,Sp Gijon,1595.23140616526
2017,186,Barcelona B,ESP 2nd,1432.7649326852,10,14,18,42,Sp Gijon,1631.08020198455
2017,190,Lugo,ESP 2nd,1429.36925930544,15,10,17,42,Zaragoza,1589.37562806333
2017,247,Lorca,ESP 2nd,1351.09431411559,8,9,25,42,Numancia,1563.08067351552
2017,250,Sevilla B,ESP 2nd,1342.1847682928,7,11,24,42,Zaragoza,1591.17950750151
