season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2017,7,Bayern Munich,GER 2nd,1812.49029081732,27,3,4,34,Schalke 04,1644.27784280145
2017,42,Schalke 04,GER 2nd,1629.32006646306,18,9,7,34,Dortmund,1592.40173813964
2017,53,Hoffenheim,GER 2nd,1592.47770283377,15,10,9,34,Bayern Munich,1823.13861619442
2017,67,Stuttgart,GER 2nd,1569.39032902465,15,6,13,34,Bayern Munich,1848.23476590148
2017,71,Dortmund,GER 2nd,1565.71345488978,15,10,9,34,Leverkusen,1593.85621088178
2017,74,Leverkusen,GER 2nd,1560.31214212041,15,10,9,34,Hoffenheim,1552.32291705619
2017,101,RB Leipzig,GER 2nd,1519.62649970139,15,8,11,34,Bayern Munich,1833.52202882571
2017,113,Werder Bremen,GER 2nd,1504.2179517972,10,12,12,34,Schalke 04,1602.34287539913
2017,116,M'gladbach,GER 2nd,1496.43034786346,13,8,13,34,Bayern Munich,1817.46732718929
2017,121,Ein Frankfurt,GER 2nd,1490.69182923589,14,7,13,34,RB Leipzig,1548.45824975644
2017,148,Hertha,GER 2nd,1463.26014784553,10,13,11,34,Leverkusen,1601.53967868801
2017,157,Augsburg,GER 2nd,1451.99181404064,10,11,13,34,Ein Frankfurt,1550.67307590175
2017,182,Mainz,GER 2nd,1434.90649045824,9,9,16,34,Dortmund,1597.60553990607
2017,194,Hannover,GER 2nd,1423.96634757006,10,9,15,34,Schalke 04,1640.7572137524
2017,214,Freiburg,GER 2nd,1398.91713825721,8,12,14,34,Hoffenheim,1640.31240818044
2017,217,Wolfsburg,GER 2nd,1396.61321699215,6,15,13,34,M'gladbach,1542.96824000594
2017,226,Hamburg,GER 2nd,1386.37895492524,8,7,19,34,Schalke 04,1634.09026665499
2017,262,FC Koln,GER 2nd,1303.29527516402,5,7,22,34,Leverkusen,1587.08906856797
