season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2018,17,Galatasaray,TUR 1st,1691.0267588639001,20,9,5,34,Besiktas,1675.0150838181
2018,26,Besiktas,TUR 1st,1656.07028345532,19,8,7,34,Buyuksehyr,1696.46205610891
2018,36,Buyuksehyr,TUR 1st,1632.61320643151,19,10,5,34,Besiktas,1633.43119077335
2018,37,Trabzonspor,TUR 1st,1632.51933822387,18,9,7,34,Galatasaray,1712.57873668863
2018,84,Fenerbahce,TUR 1st,1545.34499144615,11,13,10,34,Yeni Malatyaspor,1566.42135361509
2018,107,Rizespor,TUR 1st,1512.84475906097,9,14,11,34,Yeni Malatyaspor,1538.61268688903
2018,121,Konyaspor,TUR 1st,1503.22567869813,9,17,8,34,Ankaragucu,1529.88945686791
2018,145,Alanyaspor,TUR 1st,1482.21538623313,12,8,14,34,Trabzonspor,1649.61407258201
2018,154,Yeni Malatyaspor,TUR 1st,1470.76329443123,13,8,13,34,Galatasaray,1655.72421857709
2018,163,Sivasspor,TUR 1st,1458.45320379925,10,11,13,34,Galatasaray,1708.13749995798
2018,165,Goztep,TUR 1st,1457.47780895804,11,5,18,34,Buyuksehyr,1678.37230974879
2018,166,Erzurum BB,TUR 1st,1456.59345405603,8,11,15,34,Sivasspor,1521.14039655604
2018,175,Ankaragucu,TUR 1st,1443.60876001292,11,7,16,34,Yeni Malatyaspor,1514.50290117844
2018,185,Bursaspor,TUR 1st,1435.13638057276,7,16,11,34,Ankaragucu,1499.47268637474
2018,186,Kayserispor,TUR 1st,1432.5433061995,10,11,13,34,Kasimpasa,1552.12155701847
2018,187,Antalyaspor,TUR 1st,1431.6978192609,13,6,15,34,Besiktas,1666.86443741547
2018,221,Kasimpasa,TUR 1st,1393.02334348142,11,6,17,34,Buyuksehyr,1649.08505671224
2018,234,Akhisar Belediyespor,TUR 1st,1364.84222681494,6,9,19,34,Galatasaray,1691.04674068511
