season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2019,5,Porto,POR 1st,1817.1206079208,26,4,4,34,Benfica,1809.69106416633
2019,14,Benfica,POR 1st,1720.91664853873,24,5,5,34,Sp Braga,1611.90548024746
2019,38,Sp Braga,POR 1st,1618.45235913239,18,6,10,34,Porto,1833.75495187403
2019,51,Sp Lisbon,POR 1st,1591.05960013118,18,6,10,34,Sp Braga,1629.8349799715
2019,59,Rio Ave,POR 1st,1574.03174689969,15,10,9,34,Sp Braga,1622.54226434303
2019,76,Guimaraes,POR 1st,1547.98737236262,13,11,10,34,Famalicao,1549.42760212986
2019,81,Famalicao,POR 1st,1538.6396837751,14,12,8,34,Porto,1832.75392631424
2019,119,Moreirense,POR 1st,1507.4488303645,10,13,11,34,Gil Vicente,1510.3972077084
2019,149,Santa Clara,POR 1st,1475.84692661763,11,10,13,34,Benfica,1747.16061875323
2019,151,Maritimo,POR 1st,1473.74374706488,9,12,13,34,Benfica,1729.90214231322
2019,156,Gil Vicente,POR 1st,1466.22029628232,11,10,13,34,Porto,1816.91924719075
2019,178,Pacos Ferreira,POR 1st,1446.46790419673,11,6,17,34,Sp Braga,1581.32243668482
2019,196,Boavista,POR 1st,1427.29666025274,10,9,15,34,Sp Braga,1633.10286957423
2019,209,Portimonense,POR 1st,1410.73646639881,7,12,15,34,Famalicao,1586.36433105519
2019,215,Tondela,POR 1st,1401.53142028783,9,9,16,34,Sp Braga,1618.77257618326
2019,219,Setubal,POR 1st,1399.45229322543,7,13,14,34,Sp Braga,1595.08826018188
2019,234,Belenenses,POR 1st,1382.42622830751,9,8,17,34,Boavista,1502.11849724783
2019,264,Aves,POR 1st,1200.6212082411,5,2,27,34,Sp Braga,1600.37878695781
