rank,team,elo,wins,losses,best_win_name,best_win_elo
1,Ajax,1670.47883295797,30,4,AZ Alkmaar,1601.4621539251252
2,Inter,1658.595300064072,31.5,6.5,Milan,1578.9947799506142
3,Sp Lisbon,1650.7741260367045,29.5,4.5,Sp Braga,1580.6826903880924
4,Porto,1641.9676625179643,28,6,Pacos Ferreira,1553.011980120183
5,Real Madrid,1641.168169787147,29.5,8.5,Barcelona,1622.1844028165028
6,Lille,1634.1041027828173,29.5,8.5,Lyon,1596.836713138802
7,Bayern Munich,1631.8536842174096,27,7,RB Leipzig,1599.8424374564142
8,Man City,1630.3478087432563,29.5,8.5,Leicester,1567.48987987089
9,Ath Madrid,1629.0329930993832,30,8,Sevilla,1542.6829418339696
10,Benfica,1626.7360158216466,26.5,7.5,Sp Lisbon,1656.8078895265976
11,Norwich,1623.5096928107603,34,12,Brentford,1580.681693453237
12,Paris SG,1616.7074871369973,28,10,Lyon,1595.6884187264131
13,Atalanta,1611.0084179405208,27.5,10.5,Juventus,1594.8739067859826
14,Juventus,1609.6220044876866,27.5,10.5,Inter,1665.9411513440152
15,AZ Alkmaar,1609.0016690223547,25,9,PSV Eindhoven,1588.7431696627307
16,Monaco,1608.5388372313616,27,11,Paris SG,1587.910250561781
17,Watford,1608.5122731917927,32,14,Norwich,1621.4681233485933
18,PSV Eindhoven,1605.2303271423978,25.5,8.5,Vitesse,1537.793527873168
19,Barcelona,1604.6753512830485,27.5,10.5,Sevilla,1579.9989879887848
20,Brentford,1600.7960299091424,31.5,14.5,Watford,1610.5457547107678
21,Napoli,1599.6801359580925,26.5,11.5,Milan,1585.0429915752957
22,Milan,1598.9665079101565,27.5,10.5,Atalanta,1621.9836895089147
23,Sevilla,1598.4626473394242,26.5,11.5,Ath Madrid,1621.0388460771576
24,Lyon,1596.5178332977769,27,11,Monaco,1606.994152534172
25,Man United,1592.1100253136012,26.5,11.5,Man City,1639.9574502614876
26,Troyes,1591.9089866090187,27,11,Grenoble,1559.6615069020017
27,Hull,1591.5750183938758,31,15,Peterboro,1568.1146967819668
28,Empoli,1591.2876862596524,27,11,Lecce,1555.5151034731298
29,Mallorca,1585.24199832022,29,13,Almeria,1564.8083339861182
30,Espanol,1584.0974423771615,29,13,Mallorca,1587.9857956917856
31,Greuther Furth,1582.0200273692592,23,11,Holstein Kiel,1563.87375008049
32,Peterboro,1580.8656509803156,30.5,15.5,Hull,1540.5550738658692
33,Dortmund,1579.8091693334707,22,12,RB Leipzig,1586.353593536776
34,Clermont,1579.447627806231,25.5,12.5,Troyes,1582.131530097282
35,Bochum,1576.407099784303,23,11,Holstein Kiel,1561.7231673760289
36,Blackpool,1575.4615619292742,28.5,17.5,Sunderland,1564.4452638634093
37,Salernitana,1575.327923806249,25,13,Empoli,1592.949892065739
38,Liverpool,1570.8904141257551,24.5,13.5,Man United,1602.004802676402
39,Girona,1570.7265764862022,25.5,16.5,Espanol,1571.8344484482616
40,Toulouse,1566.8555534398895,25,13,Clermont,1564.3116958845872
41,Chelsea,1564.8849812766894,24,14,Man City,1644.4790522513254
42,Ein Frankfurt,1564.3034368576405,22,12,Bayern Munich,1598.017061276134
43,RB Leipzig,1563.57993891577,23,11,Union Berlin,1544.8922728949067
44,Leganes,1561.858562871788,26,16,Almeria,1575.1461839993506
45,Barnsley,1561.3860496704947,27.5,18.5,Brentford,1603.2166507557831
46,Sp Braga,1561.0190158942478,22.5,11.5,Benfica,1533.532631201592
47,Wolfsburg,1560.5197357304157,22,12,Leverkusen,1543.8219185329538
48,Paris FC,1555.0761526416993,23.5,14.5,Toulouse,1569.066523911814
49,Holstein Kiel,1554.4654950704034,22,12,St Pauli,1536.9267000902958
50,Betis,1551.9413156378569,22,16,Villarreal,1540.218710848619
51,Monza,1551.7537446448189,23.5,14.5,Lecce,1566.5329077389774
52,Almeria,1551.667147529504,26,16,Sp Gijon,1528.5738606451464
53,Grenoble,1550.1602617179642,23.5,14.5,Troyes,1565.1653463676253
54,West Ham,1549.6438633394098,23,15,Leicester,1559.5196569310122
55,Lazio,1549.6059608492112,23.5,14.5,Milan,1578.2562036793024
56,Sunderland,1549.5977001618467,28.5,17.5,Doncaster,1563.82070430697
57,Feyenoord,1549.571491710663,21.5,12.5,PSV Eindhoven,1579.857531775456
58,Auxerre,1549.3211658097277,23,15,Toulouse,1583.6732304223704
59,Sassuolo,1548.515623143229,22.5,15.5,Milan,1590.5535217386152
60,Charlton,1547.8705161503838,27,19,Hull,1602.2402871587758
