season,rank,team,elo,wins,draws,losses,games,best_win_name,best_win_elo
2025,1,Barcelona,1735.5582583499763,28,4,6,38,Real Madrid,1651.7866309255894
2025,2,Real Madrid,1671.6739034874463,26,6,6,38,Ath Bilbao,1615.5943288443366
2025,3,Ath Madrid,1638.451383159529,22,10,6,38,Barcelona,1615.5536037817378
2025,4,Ath Bilbao,1623.2268600426717,19,13,6,38,Real Madrid,1596.07810668105
2025,5,Villarreal,1610.8174741569112,20,10,8,38,Barcelona,1714.4744027998565
2025,6,Betis,1545.2987317440036,16,12,10,38,Real Madrid,1630.1110157988758
2025,7,Osasuna,1514.2940413009728,12,16,10,38,Ath Madrid,1609.26425485942
2025,8,Celta,1513.844906392699,16,7,15,38,Villarreal,1554.5136989307207
2025,9,Vallecano,1495.634721846351,13,13,12,38,Celta,1502.3532929927837
2025,10,Valencia,1480.2601988948998,11,13,14,38,Real Madrid,1631.0128750750257
2025,11,Espanol,1467.7820568579723,11,9,18,38,Real Madrid,1635.9603981054577
2025,12,Mallorca,1457.6618871129594,13,9,16,38,Vallecano,1507.1117354383414
2025,13,Alaves,1453.3527209797771,10,12,16,38,Villarreal,1563.436089098028
2025,14,Getafe,1452.5685710732844,11,9,18,38,Ath Madrid,1629.9397158074853
2025,15,Sevilla,1441.8031288379755,10,11,17,38,Betis,1494.6877485976972
2025,16,Sociedad,1436.8485335668797,13,7,18,38,Barcelona,1641.0592308856083
2025,17,Leganes,1417.9272077618716,9,13,16,38,Barcelona,1628.7433876383445
2025,18,Girona,1403.5753663381108,11,8,19,38,Ath Bilbao,1522.4593384979526
2025,19,Las Palmas,1385.9864379557478,8,8,22,38,Barcelona,1624.1661859929293
2025,20,Valladolid,1253.4336101399613,4,4,30,38,Espanol,1491.8129854531426
