season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2025,26,Ipswich,ENG 2nd,1681.01195369915,14,8,5,27,Coventry,1728.68543843225
2025,30,Coventry,ENG 2nd,1667.58787262396,17,7,4,28,Middlesbrough,1596.41293117484
2025,51,Middlesbrough,ENG 2nd,1611.31302181676,15,7,6,28,Ipswich,1666.52585916511
2025,60,Hull,ENG 2nd,1598.5132861362,14,5,8,27,Middlesbrough,1601.97092968505
2025,74,Watford,ENG 2nd,1561.26931139478,11,9,7,27,Middlesbrough,1627.94298126522
2025,76,Wrexham,ENG 2nd,1558.31517784669,10,11,7,28,Coventry,1711.62069367548
2025,82,Preston,ENG 2nd,1542.69888293191,11,10,7,28,Ipswich,1666.99940888886
2025,88,Millwall,ENG 2nd,1535.21869567961,13,7,8,28,Watford,1587.39651424573
2025,92,Derby,ENG 2nd,1530.05018476777,11,8,9,28,Middlesbrough,1590.6671405744
2025,94,Stoke,ENG 2nd,1526.85020617356,12,5,11,28,Hull,1582.90304954581
2025,102,Bristol City,ENG 2nd,1515.63827097551,11,7,10,28,Middlesbrough,1630.23153445407
2025,111,Southampton,ENG 2nd,1500.81492307755,9,9,10,28,Wrexham,1558.30167442078
2025,119,Birmingham,ENG 2nd,1489.98917943296,10,8,10,28,Coventry,1670.63799959125
2025,123,QPR,ENG 2nd,1488.34988137948,11,7,10,28,Hull,1579.16286424011
2025,125,Leicester,ENG 2nd,1487.19457246554,10,8,10,28,Ipswich,1666.13929732338
2025,131,Sheffield United,ENG 2nd,1482.97095980227,10,2,15,27,Stoke,1561.00170332141
2025,142,Swansea,ENG 2nd,1474.41349853088,10,6,12,28,Wrexham,1543.17771082702
2025,145,Norwich,ENG 2nd,1473.67318918482,8,6,14,28,Wrexham,1575.97271895314
2025,162,Charlton,ENG 2nd,1445.62003168903,8,8,11,27,Ipswich,1654.70497794604
2025,189,Blackburn,ENG 2nd,1414.0289430911,7,7,13,27,Hull,1606.30577684193
2025,193,Portsmouth,ENG 2nd,1410.02640240638,7,8,11,26,Middlesbrough,1635.06982400252
2025,195,Oxford,ENG 2nd,1406.31146978868,5,9,13,27,Ipswich,1657.7690090157
2025,221,West Brom,ENG 2nd,1373.62060614739,9,4,15,28,Preston,1572.65735943323
2025,261,Sheffield Weds,ENG 2nd,1224.51947895802,1,8,18,27,Portsmouth,1510.81246033098
