season,rank,team,league,elo,wins,draws,losses,games,best_win_name,best_win_elo
2025,7,Paris SG,FRA 1st,1819.16879541562,13,3,2,18,Lens,1763.66704683378
2025,11,Lens,FRA 1st,1773.28297139596,14,1,3,18,Marseille,1687.49359958717
2025,33,Marseille,FRA 1st,1654.98404458752,11,2,5,18,Paris SG,1841.64205119401
2025,52,Rennes,FRA 1st,1611.20452264254,8,7,3,18,Marseille,1654.79549102649
2025,66,Lyon,FRA 1st,1587.86630340673,10,3,5,18,Lens,1771.48494213325
2025,68,Lille,FRA 1st,1576.92560048309,10,2,6,18,Marseille,1682.3545211025
2025,80,Toulouse,FRA 1st,1548.08135038525,7,5,6,18,Lyon,1618.99918020279
2025,100,Strasbourg,FRA 1st,1518.01421214011,8,3,7,18,Lille,1589.70013503935
2025,137,Lorient,FRA 1st,1479.12300670238,5,7,6,18,Rennes,1622.56247579836
2025,148,Brest,FRA 1st,1468.94646308752,6,4,8,18,Strasbourg,1545.7580833762
2025,158,Angers,FRA 1st,1454.20728035996,6,4,8,18,Toulouse,1525.95725162517
2025,171,Le Havre,FRA 1st,1434.61358119605,4,7,7,18,Angers,1508.4571070912
2025,201,Monaco,FRA 1st,1405.08082355529,7,2,9,18,Paris SG,1812.79735364291
2025,213,Paris FC,FRA 1st,1387.16770354532,5,4,9,18,Monaco,1542.02090986991
2025,232,Nice,FRA 1st,1353.93204246207,5,3,10,18,Lille,1609.19079168268
2025,241,Nantes,FRA 1st,1328.6693919904,3,5,10,18,Marseille,1673.40525693005
2025,252,Auxerre,FRA 1st,1299.69742002796,3,3,12,18,Toulouse,1549.00326653341
2025,253,Metz,FRA 1st,1299.03448661621,3,3,12,18,Lens,1768.24502095494
